data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2462	Untreated	PET	10844470.45	10844470.45	33309410.4866667	33286630	27254585.2166667	30898241	36969413.1666667	34079993	38099055.6666667	36757756	0.266774067762789	0.266774067762789	0.268164827246824	NA_[2462_813.68_8.1]	NA	NA	[M + H3N + H]+	5	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.318	0.581	0.712
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2401	Untreated	PET	8868979.65833334	8868979.65833334	20864350.02	17231610	17423877.2583333	17963472	21590569.3333333	16662263	26292856.9166667	21181631	0.218176977038009	0.484951044800798	0.167973096400797	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1379	Untreated	PET	5427063.03333333	5427063.03333333	12195773.7533333	10441924	9183456.9	9898220	14000717.5166667	10890182	14610519.9333333	17559505.5	0.133505798008551	0.618456842809349	0.0981847926433017	NA_[1379_486.48_5.1]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H]+	42	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.997	0.986	0.957
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3145	PET	PS	5369912.35	5369912.35	3739454.04666667	1013873.6	6383785.95	1073617.2	1013873.6	1013873.6	3901951.13333333	1013873.6	0.132099890699517	0.750556733508865	0.0301053075923757	NA_[3145_505.52_10.1]	NA	4-[2,3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)cyclopentyl]-2,2,6,6-tetramethylpiperidine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.873	0.645	0.71
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2640	Untreated	PS	3101133	3101133	16050976.2533333	13072027	16997211.8833333	20247547	14386441.5	12227617	17487574.5	13072027	0.0762878988787711	0.826844632387637	0.129221958936829	NA_[2640_503.5_8.7]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H3N + H]+	8	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.992	0.84	0.734
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1255	Untreated	PET	1947276.075	1947276.075	10575125.57	10703443	9618358.425	10703443	11036638.25	10442509	11565634.5	11768840	0.0479030084484123	0.874747640836049	0.0851374035192753	NA_[1255_468.45_4.6]	NA	N,N'-(Iminodiethylene)bis(dodecanamide)	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.884	0.953	0.813
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2643	Untreated	PS	1527245.58333333	1527245.58333333	6626572.40333333	6662613.75	7062742.34166667	7580594.25	5826710.58333333	6573710.75	7353956.16666667	6393293.75	0.0375702546857498	0.912317895521799	0.0533486968942237	NA_[2643_549.57_8.7]	NA	4-Methyl-1-(4-methyl-2,2,6,6-tetrapropylpiperidin-1-yl)oxy-2,2,6,6-tetrapropylpiperidine	[M + H]+	57	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.917	0.975	0.875
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1357	Untreated	PET	1274118.11666667	1274118.11666667	8292269.38666667	8706326	7565469.46666667	8076136	8745410.20833333	8793083	8839587.58333333	8947894.5	0.031343316795467	0.943661212317266	0.0667587614151776	NA_[1357_515.34_5]	NA	[(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclopentylmethyl)-5,6-dihydroxy-1,3-diazepan-2-ylidene]cyanamide	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.947	0.809	0.725
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2981	PET	Untreated	889217.375	889217.375	3545303.87333333	3486281.7	3804760.19166667	3744508.2	3600728.08333333	3544259.75	2915542.81666667	3131084.85	0.0218747551895537	0.965535967506819	0.0285422583840231	NA_[2981_556.54_9.5]	NA	(2S)-1-[4-[2-[[(2S)-2-hydroxydodecyl]-[(2S)-2-hydroxypropyl]amino]ethyl]piperazin-1-yl]dodecan-2-ol	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.906	0.794	0.769
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3472	PET	PS	734704.858333333	734704.858333333	1332575.69333333	1013873.6	1748578.45833333	1013873.6	1013873.6	1013873.6	1137974.35	1013873.6	0.0180737459303665	0.983609713437186	0.0107281973885156	NA_[3472_505.52_11.6]	NA	2-Propyl-4,6-di(tridecyl)-1,3,5-triazine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.924	0.581	0.713
