data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2366	PS	PET	153573619.933333	153573619.933333	317581941.146667	279888560	233696043.4	266944880	387269663.333333	274581155	345978292.266667	426166430	0.295913254537289	0.295913254537289	0.281432087464314	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1382	Untreated	PET	97707163.8666667	97707163.8666667	208145709.72	186357510	155583153.4	172175980	238135962.266667	188651330	253290317.266667	308214160	0.188267000959831	0.484180255497119	0.184452810420312	NA_[1382_484.47_5.1]	NA	14-oxotriacontanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.995	0.95	0.67
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1147	Untreated	PET	88415927.2	88415927.2	174785814.053333	160530530	130499983.4	147663920	197006596.433333	160530530	218915910.6	262859280	0.170364186128071	0.65454444162519	0.154890219294496	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1844	PS	PET	48332387.2	48332387.2	107367724.053333	96241110	79067487.5666667	88620142	127399874.766667	95030930	123903895.6	140872095	0.0931292366626313	0.747673678287821	0.0951462246169319	NA_[1844_526.52_6.6]	NA	Oxoceromelissic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.99	0.928	0.676
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2962	PS	PET	12686235.2416667	12686235.2416667	22520169.4033333	19629664	16514785.6083333	17901381.5	29201020.85	19149986	21169234.1	26264721	0.0244444661773087	0.77211814446513	0.0199567338821167	NA_[2962_624.63_9.5]	NA	icosanoyl icosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.998	0.942	0.81
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2422	PET	Untreated	9079560.26666667	9079560.26666667	11868601.8766667	8988624.5	16214853.2166667	9586353	9889005	9002731.5	7135292.95	6260687.1	0.0174949462638383	0.789613090728968	0.0105176175615432	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1579	Untreated	PET	7863953.7	7863953.7	16883476.32	13899171	12319712.0666667	13535031.5	19797145.85	13903621.5	20183665.7666667	22663850	0.0151526553447638	0.804765746073732	0.0149616567215248	NA_[1579_556.53_5.9]	NA	7-Octadecanoyloxy-hexadecanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Diacylglycerols	0.994	0.958	0.435
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2087	PS	Untreated	7085834.54166667	7085834.54166667	15640449.37	13099348	14930177.5083333	12964166.5	18475908.7916667	13244104.5	11390074.25	12721153.5	0.0136533368246939	0.818419082898426	0.0138601215773985	(2E)-geranyl hexadecanoate_[2087_410.4_7.2]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.944	0.957	0.863
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2177	PS	Untreated	6634341.33333333	6634341.33333333	17444803.9866667	14791962.5	15909945.3833333	14887244.5	20679490.1666667	15809071.5	14045148.8333333	13496232	0.0127833773568022	0.831202460255228	0.0154590893413113	NA_[2177_520.51_7.4]	NA	Geranylcitronellol tetradecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.984	0.808	0.598
raw	superclass	Fatty esters	NPC superclass: Fatty esters	924	PS	Untreated	5796950.125	5796950.125	9488525.33	7102828	10211108.45	10313667	10939119.9583333	7601575	5142169.83333333	5759161	0.0111698505161482	0.842372310771376	0.00840846139090344	NA_[924_412.38_3.5]	NA	(3S,4R,5R)-4-hydroxy-3-icos-1-en-9-yl-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.884	0.773	0.532
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2421	PET	Untreated	4955872.35	4955872.35	6364400.13	4648438	8730599.01666667	5111639	5293037.975	4648438	3774726.66666667	3329216.6	0.00954922021631369	0.85192153098769	0.0056399504568078	NA_[2421_412.38_8]	NA	4-hydroxy-3-(icos-11-en-1-yl)-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.695	0.866	0.665
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2381	PET	Untreated	4807237.075	4807237.075	7882792.03	6196119.25	10195804.075	7203143.75	6816892.5	6052868.25	5388567	5106513.5	0.00926282240929847	0.861184353396989	0.00698550619106334	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2077	PS	Untreated	3997276.75	3997276.75	11465781.9366667	10168660.5	11043260.2166667	10270604.5	13079888.6666667	9552813	9082611.91666667	9990566	0.00770215075279343	0.868886504149782	0.0101606499827913	NA_[2077_396.38_7.2]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.942	0.969	0.871
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1224	PET	Untreated	3964242.85833333	3964242.85833333	8707291.57333333	7940109.75	10238829.325	8183675.25	8392106.375	8781993	6274586.46666667	4814245.35	0.00763849941477484	0.876525003564557	0.00771615424603732	NA_[1224_396.38_4.5]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.925	0.947	0.848
raw	superclass	Fatty esters	NPC superclass: Fatty esters	833	Untreated	PET	3577100.85	3577100.85	7255293.11	6129193.25	5420220.83333333	5539481.75	8219351.1	6153231.75	8997321.68333333	10632515.5	0.0068925350251632	0.88341753858972	0.00642943448780599	NA_[833_428.41_3.2]	NA	ethyl 14-oxotetracosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.987	0.96	0.81
raw	superclass	Fatty esters	NPC superclass: Fatty esters	866	PS	PET	3564596.66666667	3564596.66666667	4033542.95	1283244.05	2439912.11666667	1013873.6	6004508.78333333	2216818.35	3278872.95	1177430.75	0.00686844134561652	0.890285979935337	0.00357441108961299	Dibutyl decanedioate_[866_315.25_3.3]	Dibutyl decanedioate	1,10-dibutyl decanedioate	[M + H]+	567	Fatty acids	Fatty esters	Wax monoesters	0.975	0.927	0.628
raw	superclass	Fatty esters	NPC superclass: Fatty esters	501	PET	Untreated	3449804.78333333	3449804.78333333	4121427.83	2115851.15	6010070.98333333	3376501.35	3013365.49166667	2115851.15	2560266.2	1505095.55	0.0066472546612994	0.896933234596636	0.00365229217172253	NA_[501_125.1_1.9]	NA	[(Z)-2-methoxyethenoxy]cyclopentane	[M - H2O + H]+	429	Fatty acids	Fatty esters	Lactones	0.994	0.709	0.849
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1541	Untreated	PET	3057586.2	3057586.2	9885200.07	6908102.25	8384299.38333333	6803445.5	10607758	6631123.75	11441885.5833333	9967304	0.00589150847562927	0.902824743072265	0.00875998326812192	NA_[1541_706.59_5.8]	NA	3,4-dihydroxy-N-(1,3,6-trihydroxynonacos-4-en-2-yl)dodecanamide	[M + Na]+	5	Fatty acids	Fatty esters	Fatty acyl carnitines	1	0.822	0.905
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1417	PS	Untreated	2897695.85833333	2897695.85833333	11770362.7966667	10867292	12068400.7333333	11879050	12537569.4583333	10126305.5	9639873.6	9754302	0.00558342384890626	0.908408166921171	0.0104305608817612	NA_[1417_396.38_5.3]	NA	Methyl 3-(2-octadecylcyclopropen-1-yl)propanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.953	0.982	0.904
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1154	Untreated	PET	1866762.075	1866762.075	8505529.15333333	8610202	7594950.09166667	8618447	8938016.70833333	8584628.5	9461712.16666667	8767405	0.00359696959217234	0.912005136513344	0.00753735812549145	NA_[1154_396.38_4.2]	NA	Methyl 3-(2-octadecylcyclopropen-1-yl)propanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.885	0.76	0.538
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2055	PS	PET	1816982.61666667	1816982.61666667	5135893.80666667	5054122.25	4087395.09166667	4064247.25	5904377.70833333	5313629.75	5695923.43333333	5761717	0.00350105206720344	0.915506188580547	0.00455128307921551	Cer(d18:0/15:0)_[2055_543.54_7.1]	Cer(d18:0/15:0)	N-(1,3-dihydroxyoctadecan-2-yl)pentadecanamide	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Fatty acyl carnitines	0.995	0.854	0.156
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1912	PS	Untreated	1783446.95	1783446.95	2768929.95	1324696.5	2471398.075	1437567.7	3561766.85	1524751.2	1778319.9	1106628	0.00343643388427125	0.918942622464819	0.00245374700166303	9-[(9Z),(12Z)-octadecadienoyloxy]-octadecanoate_[1912_580.53_6.8]	9-[(9Z),(12Z)-octadecadienoyloxy]-octadecanoate	9-(9Z,12Z-octadecadienoyloxy)-octadecanoate	[M + H3N + H]+	102	Fatty acids	Fatty esters	Fatty acid estolides	0.999	0.996	0.995
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1969	PS	Untreated	1717417.65833333	1717417.65833333	2502773.37333333	1388552.5	2339527.7	1612299.95	3184076.375	1013873.6	1466658.71666667	1271740	0.00330920537588317	0.922251827840702	0.00221788661018988	NA_[1969_625.59_6.9]	NA	Tetratriacontanoic acid 3-(4-hydroxyphenyl)propyl ester	[M - H2O + H]+	102	Fatty acids	Fatty esters	Wax monoesters	0.978	0.91	0.448
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1887	PS	Untreated	1653352.55	1653352.55	2719336.03666667	1888579.3	2512093.89166667	1935864.75	3408614.98333333	1774417.9	1755262.43333333	1423789.1	0.00318576155319129	0.925437589393893	0.00240979828561031	NA_[1887_536.5_6.7]	NA	hexadecanoyl (9Z,12Z)-octadeca-9,12-dienoate	[M + H3N + H]+	102	Fatty acids	Fatty esters	Wax monoesters	0.978	0.972	0.408
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1421	PS	Untreated	1637256.36666667	1637256.36666667	6594962.91	6267607.5	6894624.98333333	6760301.75	6940940.31666667	5514554.25	5303683.95	5275185.75	0.00315474663019955	0.928592336024093	0.00584426863759821	(2E)-geranyl hexadecanoate_[1421_410.4_5.3]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	130	Fatty acids	Fatty esters	Wax monoesters	0.934	0.975	0.872
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1909	PS	Untreated	1473390.275	1473390.275	1941654.21	1013873.6	1716365.275	1013873.6	2582976.925	1013873.6	1109586.65	1013873.6	0.00283900133153147	0.931431337355624	0.00172063876012966	NA_[1909_625.59_6.8]	NA	Tetratriacontanoic acid 3-(4-hydroxyphenyl)propyl ester	[M - H2O + H]+	102	Fatty acids	Fatty esters	Wax monoesters	0.962	0.829	0.204
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2413	PS	PET	1330952.1	1330952.1	4809327.67666667	3614179.35	4110746.425	3155353.35	5441698.525	5021996	4941748.48333333	4861756.35	0.00256454440362354	0.933995881759248	0.00426188945900775	NA_[2413_730.57_8]	NA	2-hydroxy-N-(1,3,4-trihydroxypentacosa-5,9-dien-2-yl)octadec-3-enamide	[M + K]+	48	Fatty acids	Fatty esters	Ceramides	0.999	0.85	0.116
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2547	PS	PET	1225285.24166667	1225285.24166667	2562322.01333333	1930655.75	1941868.36666667	1830113.65	3167153.60833333	1871805.25	2593566.11666667	2909941.6	0.00236094026926947	0.936356822028517	0.00227065692200405	NA_[2547_640.62_8.5]	NA	Tetramethylene distearate	[M + H3N + H]+	168	Fatty acids	Fatty esters	Wax monoesters	0.999	0.992	0.852
