data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2335	PS	PET	28760673.0333333	28760673.0333333	63545839.1866667	55226725	46344380.2333333	51408710	75105053.2666667	54636696	74830328.9333333	81901060	0.184386386034824	0.184386386034824	0.105840817515614	NA_[2335_526.52_7.8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Diacylglycerols	0.988	0.962	0.578
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3034	PET	Untreated	14474341.7333333	14474341.7333333	8977645.28666667	1013873.6	15488215.3333333	1013873.6	6448961.08333333	1013873.6	1013873.6	1013873.6	0.0927958660546355	0.27718225208946	0.0149530060294706	NA_[3034_1014.06_9.6]	NA	18-Oxononahexacontanoic acid	[M + H]+	6	Fatty acids	Glycerolipids	Triacylglycerols	1	1	0.991
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1622	Untreated	PET	7295447.86666667	7295447.86666667	25429336.02	27222026	22502897.3	21128023	26171270.1666667	27222026	29798345.1666667	32734368	0.0467715503417143	0.323953802431174	0.042354648985433	NA_[1622_904.59_6.1]	NA	2-(6-{3-[20-(2-amino-3-hydroxypropoxy)-8-hydroxyicosyl]oxiran-2-yl}-2,6-dihydroxyhexanamido)-1-[4-(3-hydroxy-2-propanamidopropoxy)phenyl]ethyl acetate	[M + Na]+	10	Fatty acids	Glycerolipids	Glycerophosphoserines	1	0.803	0.683
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2702	PET	Untreated	6909013.75833333	6909013.75833333	10992547.8866667	8236508.75	12819273.425	10304518	11706966.4583333	9210740	5910259.66666667	5347198.5	0.0442940982809231	0.368247900712097	0.0183089918993225	NA_[2702_560.56_8.9]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.944
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2710	PS	Untreated	6576447	6576447	63729961.82	69362260	64248471.3	70397440	65576437.8333333	71465280	58999990.8333333	58822669	0.0421619930060107	0.410409893718108	0.106147488893072	NA_[2710_600.55_8.9]	NA	(1-Hydroxy-3-tridecanoyloxypropan-2-yl) icosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1623	Untreated	PET	5863821.03333334	5863821.03333334	22275022.42	23280440	20079445.6333333	18584611	22636477.0833333	23280440	25943266.6666667	28536029	0.0375933055335045	0.448003199251612	0.037100880455539	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2412	Untreated	PET	4666343.2	4666343.2	10547380.4533333	9128314	7872444.9	8464887.5	12226612.1833333	8758977.25	12538788.1	13876353	0.0299162038958188	0.477919403147431	0.0175675289541733	NA_[2412_526.52_8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Wax monoesters	0.991	0.935	0.576
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1964	PS	PET	4207323.74166667	4207323.74166667	9358281.95333333	7961114.75	6951169.10833333	7478353.75	11158492.85	7696053.75	10572085.85	11075134	0.0269734028374551	0.504892805984886	0.0155869876794426	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3462	PS	PET	3897919.45	3897919.45	34681908.0533333	38040808	33058485.4666667	38081576	36956404.9166667	38946796	33379759.5	35188450	0.0249897935144757	0.529882599499362	0.0577655681056197	triolein_[3462_902.82_11.6]	triolein	Olein	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3382	PS	PET	3836490.7	3836490.7	28406673.6533333	30894930	26379762.8	28001607	30216253.5	31118055	28841335.6666667	30917135	0.0245959701433046	0.554478569642667	0.0473136494985323	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))_[3382_898.79_11.1]	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))	NA	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.987	0.999	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3452	PS	PET	3542560.2	3542560.2	16533802.48	13789367	14784482.7583333	13789367	18327042.9583333	15504578.5	16445960.9666667	14986482.5	0.0227115642193683	0.577190133862035	0.027538406818177	NA_[3452_876.8_11.6]	NA	1-Myristoyl-2-eicosenoyl-3-oleoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.996	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3430	PS	PET	3505071.7	3505071.7	30689630.7866667	32894932	29252931.3833333	32392539	32758003.0833333	33889273	29426285	30751341	0.0224712232153572	0.599661357077392	0.0511161022230185	1,2-dioleoyl-3-linoleoyl-sn-glycerol_[3430_900.8_11.4]	1,2-dioleoyl-3-linoleoyl-sn-glycerol	1,2-Dioleoyl-3-Linoleoyl-Sn-Glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.995	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2943	PET	Untreated	3349388.35	3349388.35	3076371.08666667	1013873.6	4363261.95	1013873.6	2820728.96666667	1013873.6	1013873.6	1013873.6	0.0214731279955748	0.621134485072967	0.0051239488684338	NA_[2943_600.55_9.4]	NA	[(2S)-3-hydroxy-2-(10-methylundecanoyloxy)propyl] 19-methylicosanoate	[M + H3N + H]+	271	Fatty acids	Glycerolipids	Diacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3376	PS	PET	3184041.38333333	3184041.38333333	9270205.39666667	6839653.25	7496300.525	7429981.75	10680341.9083333	5864523	9997742.11666667	9250229.75	0.0204130787543713	0.641547563827338	0.0154402889359706	NA_[3376_922.79_11.1]	NA	1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	332	PS	Untreated	2856534.94166667	2856534.94166667	3376680.63666667	1013873.6	2956747.675	1013873.6	4608814.25833333	1434570.55	1752279.31666667	1013873.6	0.0183134154706904	0.659860979298029	0.00562413910412142	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al_[332_468.37_1.3]	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-al	[M + H3N + H]+	102	Fatty acids	Glycerolipids	Fatty alcohols	0.962	0.727	0.571
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3348	PS	PET	2594598.78333334	2594598.78333334	19478371.52	20387210	18110178.2166667	19650008	20704777	22097735	19761947.1666667	19916931	0.0166341271747958	0.676495106472824	0.0324428285460776	1,2,3-trilinoleoylglycerol_[3348_896.77_10.9]	1,2,3-trilinoleoylglycerol	Trilinolein	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.992	0.999	0.999
