data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1385	Untreated	PS	10515688.925	10515688.925	6409643.61	2767831.85	5150269.05	2924095.05	3743997.00833333	1314157.6	14259685.9333333	15739991.25	0.135445296068221	0.135445296068221	0.0267278734323306	NA_[1385_507.27_5.2]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	238	Polyketides	Linear polyketides	Open-chain polyketides	0.562	0.761	0.504
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2517	PS	PET	8942878.36666667	8942878.36666667	21773551.0533333	22804883	17231440.3166667	22239998	26174318.6833333	22804883	22056237.2666667	23286794	0.115187014061968	0.250632310130188	0.0907945514814483	D-galactosyl-N-hexadecanoylsphinganine_[2517_740.55_8.4]	D-galactosyl-N-hexadecanoylsphinganine	Beta-D-Galactosyl-(1<->1')-N-Hexadecanoylsphinganine	[M + K]+	380	Polyketides	Linear polyketides	Open-chain polyketides	0.875	0.937	0.8
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1283	Untreated	PS	8888559.91666667	8888559.91666667	8825632.95666667	4870031.25	8743153.28333333	5771003.7	5917766.1	1013873.6	14806326.0166667	14729400	0.114487375779142	0.36511968590933	0.0368024206927773	NA_[1283_507.27_4.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.639	0.895	0.628
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	728	PS	PET	8668734.61666666	8668734.61666666	82549323.5533333	100294690	77721263.5083333	100848067	86389998.125	100657095	84524094.5	97992452	0.111655958545888	0.476775644455218	0.34422629495589	Precorallopyronin A_[728_529.33_2.8]	Precorallopyronin A	Precorallopyronin A	[M + H3N + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.807	0.729	0.599
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2291	PS	PET	7850157.78333334	7850157.78333334	33391716.2033333	33838297	29832141.55	26061551	37682299.3333333	42281343	31929699.25	32511881	0.101112438065567	0.577888082520785	0.139241683106776	NA_[2291_762.6_7.7]	NA	methyl 4-hydroxy-1-[2-(4-hydroxyphenyl)ethyl]-5-(2-oxooctadecylidene)-2-pentadecylpyrrolidine-3-carboxylate	[M + Na]+	300	Alkaloids	Linear polyketides	Open-chain polyketides	0.278	0.749	0.759
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2685	PS	PET	5613747.2	5613747.2	14582450.7866667	15542801.5	11666204.3166667	14661102	17279951.5166667	15648508	15019942.2666667	15396305.5	0.072306784365642	0.650194866886427	0.0608080452946144	beta-D-glucosyl-N-(octadecanoyl)sphinganine_[2685_768.58_8.8]	beta-D-glucosyl-N-(octadecanoyl)sphinganine	Beta-D-Galactosyl-(1<->1')-N-Octadecanoylsphinganine	[M + K]+	380	Fatty acids	Linear polyketides	Open-chain polyketides	0.791	0.712	0.445
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	922	Untreated	PET	5242450.48333333	5242450.48333333	8028022.51	1013873.6	6045341.58333333	1013873.6	8380818.65833333	1013873.6	11287792.0666667	1013873.6	0.0675243688646933	0.71771923575112	0.0334764274919149	NA_[922_576.33_3.5]	NA	Rhizoxin D	[M - H2O + H]+	59	Polyketides	Linear polyketides	Open-chain polyketides	0.74	0.739	0.594
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1495	Untreated	PS	5038519.65833333	5038519.65833333	3581441.98333333	1097845.9	3332844.11666667	1701422.2	2067667.34166667	1013873.6	7106187	5492174.9	0.0648976773405751	0.782616913091695	0.0149344228572122	NA_[1495_507.27_5.6]	NA	N,N'-[3-(3,6,9,12-Tetraoxatridecane-1-yloxy)benzylidenebis(oxyethylene)]bis(acrylamide)	[M - H2O + H]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.561	0.728	0.518
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	587	Untreated	PET	4020804.61666667	4020804.61666667	22689535.82	23255670	20402924.7166667	22981121	24109050.1666667	23029615	24423729.3333333	24102818	0.0517891957075827	0.834406108799278	0.0946141593097546	NA_[587_565.41_2.3]	NA	NA	[M + Na]+	-1	Polyketides	Linear polyketides	Open-chain polyketides	0.865	0.824	0.809
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	973	Untreated	PET	3776888.06666667	3776888.06666667	1934679.67666667	1013873.6	1013873.6	1013873.6	1427444.75833333	1013873.6	4790761.66666667	1013873.6	0.0486474757911495	0.883053584590428	0.00806751149929362	NA_[973_590.35_3.6]	NA	Ac-Ser-Ala-Val-Leu-Cha-al	[M + Na]+	167	Amino acids and Peptides	Linear polyketides	Open-chain polyketides	0.924	0.846	0.306
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	2520	PS	PET	2582914.65833333	2582914.65833333	6269103.16	5048801.5	4995515.35	5048801.5	7578430.00833333	6168505.75	6197625.08333333	3491167.35	0.0332687323780744	0.916322316968502	0.0261418272200478	NA_[2520_762.48_8.4]	NA	4-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-1-isopropyl-3a-[(4-isopropylpiperazine-1-carbonyl)amino]-5a,5b,8,8,11a-pentamethyl-2-oxo-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxy]-2,2-dimethyl-4-oxo-butanoic acid	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.549	0.735	0.613
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	746	PS	Untreated	1485936.65	1485936.65	4625530.93666667	3697353.65	4532112.59166667	3534093.4	5183122.05	3179754.75	3697185.4	3961684.75	0.0191393194429123	0.935461636411414	0.0192882183402013	NA_[746_641.51_2.9]	NA	Cer(d16:1/6 keto-PGF1alpha)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.782	0.911	0.843
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	251	PS	Untreated	1461150.79166667	1461150.79166667	4194777.11666667	3324858.65	4096346.075	3381578.4	4747448.075	3121571.85	3286297.28333333	3228534.5	0.0188200699915252	0.954281706402939	0.017491997788486	Sarcoursodeoxycholic acid_[251_481.36_1.1]	Sarcoursodeoxycholic acid	YZYBIGOLMMAZFK	[M + H3N + H]+	509	Polyketides	Linear polyketides	Open-chain polyketides	0.46	0.87	0.781
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	617	PS	PET	859891.700000001	859891.700000001	9834050.62	10650166	9349856.50833333	9976474.5	10209748.2083333	10678040	10051043.6666667	10133292	0.0110756686246409	0.96535737502758	0.0410074687909975	DG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0)_[617_623.5_2.4]	DG(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z)/0:0)	Diglyceride	[M - H2O + H]+	131	Polyketides	Linear polyketides	Acetogenins	0.983	0.988	0.83
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	886	PS	Untreated	736997.9	736997.9	2087491.15333333	1528210	2064580.70833333	1757170.45	2348430.75	1071676.5	1611432.85	1701883.75	0.00949275881771645	0.974850133845297	0.00870472724105218	NA_[886_641.51_3.4]	NA	Cer(d16:1/TXB2)	[M + H3N + H]+	131	Polyketides	Linear polyketides	Open-chain polyketides	0.726	0.773	0.595
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	1151	PS	Untreated	637715.425	637715.425	1553233.98666667	1013873.6	1445159.91666667	1013873.6	1837855.175	1013873.6	1200139.75	1013873.6	0.00821397011288979	0.983064103958187	0.00647690323088351	NA_[1151_762.64_4.2]	NA	NA	[M + K]+	70	Fatty acids	Linear polyketides	Open-chain polyketides	0.562	0.901	0.687
raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	3083	Untreated	PET	582134.758333333	582134.758333333	2104436.36333333	1013873.6	1833860.475	1013873.6	2219232.81666667	1013873.6	2415995.23333333	1013873.6	0.0074980740925693	0.990562178050756	0.00877538786677834	NA_[3083_906.58_9.7]	NA	1,3,5-Tris(3,5-di-tert-butyl-4-hydroxyhydrocinnamoyl)hexahydro-S-triazine	[M + K]+	25	Polyketides	Linear polyketides	Open-chain polyketides	0.339	0.794	0.6
