sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	8093572.5	6.90814031502011	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_110626_PET100	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	6549199	6.81618825315137	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_110626_PS05	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	2594567.2	6.41406509090853	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_110626_PS100	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	5727801	6.75798799676599	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_110626_untreated	Untreated	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1422949.9	6.15318991468235	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_180626_PET05	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	6372000	6.80427583528579	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_180626_PET100	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_180626_PS05	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1265898.8	6.10239933125063	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_180626_PS100	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_180626_untreated	Untreated	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1742953.6	6.24128607487461	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_210626_PET05	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_210626_PET100	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	8197357.5	6.91367392876323	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_210626_PS05	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1592029.6	6.20195141094149	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_210626_PS100	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
A549_210626_untreated	Untreated	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
MDM_160526_PET05	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	2910469.8	6.46396324647866	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
MDM_160526_PET100	PET	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	1550415.9	6.19044849367002	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
MDM_160526_PS05	PS	raw	class	Androstane steroids	NPC class: Androstane steroids	Androstane steroids	Terpenoids	Steroids	Androstane steroids	1	2085352.9	6.31917976855422	kruskal_wallis	0.247618340783901	0.988378473990811	ns	0.249839421672048	0.326392664087223
