sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	5130626.7	6.71017050155816	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_110626_PET100	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	7209441	6.85790165227853	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_110626_PS05	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	6220394.8	6.79381801946366	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_110626_PS100	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	7386519.8	6.86843992511192	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_110626_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	8809889.5	6.94497051050725	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_180626_PET05	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	4072704.7	6.60988302843024	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_180626_PET100	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	7967840.5	6.90134068631423	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_180626_PS05	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	2886513.9	6.46037380363998	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_180626_PS100	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	5179514.1	6.71428910351907	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_180626_untreated	Untreated	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	2741609.5	6.43800575471453	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_210626_PET05	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	3975936.9	6.59943959255175	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_210626_PET100	PET	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	6166198.3	6.79001755760934	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_210626_PS05	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	3844424.1	6.58483140406849	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
A549_210626_PS100	PS	raw	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	3409358.7	6.53267282331284	kruskal_wallis	0.383604476975176	0.988378473990811	ns	0.088241349532387	0.115298735480323
