sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_110626_PET100	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_110626_PS05	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_110626_PS100	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_110626_untreated	Untreated	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_180626_PET05	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_180626_PET100	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_180626_PS05	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_180626_PS100	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_180626_untreated	Untreated	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	2641505.8	6.42185173302359	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_210626_PET05	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	2383198.5	6.37716039909115	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_210626_PET100	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_210626_PS05	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_210626_PS100	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
A549_210626_untreated	Untreated	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_160526_PET05	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_160526_PET100	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_160526_PS05	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_160526_PS100	PS	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_160526_untreated	Untreated	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_A_190626_PET05	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	1013873.6	6.00598424306848	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
MDM_A_190626_PET100	PET	raw	class	Cholane steroids	NPC class: Cholane steroids	Cholane steroids	Terpenoids	Steroids	Cholane steroids	1	3046176.5	6.48375520596804	kruskal_wallis	0.34352067748618	0.988378473990811	ns	0.128516205683717	0
