sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	7860224.5	6.8954350055815	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_110626_PET100	PET	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	9103174.3	6.95919290602787	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_110626_PS05	PS	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	7814048.8	6.89287617471527	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_110626_PS100	PS	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	8647143.4	6.93687271138681	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_110626_untreated	Untreated	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	10972930.6	7.04032267202437	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_180626_PET05	PET	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	5558267	6.74493948308819	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_180626_PET100	PET	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	8467941.6	6.92777790548959	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_180626_PS05	PS	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	7466929.6	6.87314211487759	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_180626_PS100	PS	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	8819191.4	6.94542881729938	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
A549_180626_untreated	Untreated	raw	class	Polyene macrolides	NPC class: Polyene macrolides	Polyene macrolides	Polyketides	Macrolides	Polyene macrolides	4	8678436.5	6.93844154012904	kruskal_wallis	0.421481878804879	0.988378473990811	ns	0.0596468550677098	0.0538858458553939
