sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	4734896.1	6.67531054524261	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_110626_PET100	PET	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	5508753.1	6.74105338675042	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_110626_PS05	PS	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	5154399.4	6.7121781520411	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_110626_PS100	PS	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	5102330.6	6.70776867994418	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_110626_untreated	Untreated	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	6077624.1	6.78373390699386	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_180626_PET05	PET	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	4126125.1	6.61554249646731	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_180626_PET100	PET	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	5079192.1	6.70579472408481	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_180626_PS05	PS	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	4710677.1	6.67308342812485	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_180626_PS100	PS	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	5881054.6	6.76945528527843	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
A549_180626_untreated	Untreated	raw	class	Pyrimidine nucleosides	NPC class: Pyrimidine nucleosides	Pyrimidine nucleosides	Amino acids and Peptides | Carbohydrates	Nucleosides	Pyrimidine nucleosides	2	6202302.1	6.79255298593243	kruskal_wallis	0.376888288804488	0.988378473990811	ns	0.0466891917630674	0.0381549549281592
