sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	604357393.3	8.78129384006041	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_110626_PET100	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	457648994.6	8.66053251355517	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_110626_PS05	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	507056773.9	8.70505658979746	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_110626_PS100	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	477979577.4	8.67940934184716	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_110626_untreated	Untreated	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	831593597.3	8.91991113742508	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_180626_PET05	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	465524063.8	8.66794213631567	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_180626_PET100	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	338472955.6	8.52952397503424	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_180626_PS05	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	599834846.6	8.77803169263519	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_180626_PS100	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	838700221.4	8.92360675818031	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_180626_untreated	Untreated	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	872605019.5	8.94081770735487	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_210626_PET05	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	448178437	8.65145095866296	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_210626_PET100	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	552014759.4	8.74195069054544	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_210626_PS05	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	1085031917.1	9.03544251389959	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_210626_PS100	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	923697985	8.96552999670282	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
A549_210626_untreated	Untreated	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	645681957.5	8.81001865161668	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_160526_PET05	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	62030987.9	7.79260870475661	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_160526_PET100	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	73578938.7	7.86675352519452	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_160526_PS05	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	64708762.3	7.81096309975857	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_160526_PS100	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	60815503.6	7.78401431453273	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_160526_untreated	Untreated	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	64482159.7	7.80943958159426	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_A_190626_PET05	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	30416208	7.48310508371504	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_A_190626_PET100	PET	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	439955089.9	8.64340834746409	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_A_190626_PS05	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	447826627.7	8.65110991406131	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
MDM_A_190626_PS100	PS	raw	class	Sphingoid bases	NPC class: Sphingoid bases	Sphingoid bases	Fatty acids	Fatty amides | Spingolipids	Sphingoid bases	30	494295775.9	8.69398690000789	kruskal_wallis	0.200598152593052	0.988378473990811	ns	0.230354905001452	0.217535241457359
