sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_110626_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1449863.1	6.16132729645146	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_110626_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_110626_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_110626_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	5163508	6.7129449383332	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_180626_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_180626_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_180626_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_180626_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_180626_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	5288095.5	6.7232993717868	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_210626_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	3027530	6.4810885987383	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_210626_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_210626_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_210626_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
A549_210626_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_160526_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_160526_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_160526_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_160526_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_160526_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_A_190626_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_A_190626_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	2198155.2	6.34205854995635	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_A_190626_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1854237.1	6.26816550050793	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_A_190626_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_A_190626_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	5051975.5	6.70346132170434	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_B_120626_PS05	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	2145482.5	6.33152517890761	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_B_190626_PET05	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1307207.6	6.11634489637948	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_B_190626_PET100	PET	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_B_190626_PS100	PS	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
MDM_B_190626_untreated	Untreated	raw	superclass	Eicosanoids	NPC superclass: Eicosanoids	Eicosanoids	Fatty acids	Eicosanoids	Leukotrienes	1	1013873.6	6.00598424306848	kruskal_wallis	0.167197642183708	0.988378473990811	ns	0.304648634329934	0.34873853931793
