sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	242809821.7	8.38526625183534	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_110626_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	303320088.7	8.48190117574723	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_110626_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	237403494	8.37548710824975	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_110626_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	265243178.6	8.42364422537199	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_110626_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	341655790.6	8.53358878709179	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_180626_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	191864582.2	8.282994814546	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_180626_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	272486161	8.43534445186169	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_180626_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	310181023.9	8.49161522663916	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_180626_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	317497474.5	8.50174027646019	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_180626_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	347651782.8	8.54114446209071	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_210626_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	294532837.6	8.46913372298629	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_210626_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	296904508.1	8.47261679329284	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_210626_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	287915930.3	8.45926569643159	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_210626_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	349209001.9	8.54308543165263	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
A549_210626_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	260612104.5	8.41599458493661	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_160526_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	75656193.2	7.87884449080935	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_160526_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	112792097.6	8.05227867717737	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_160526_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	70127261.5	7.84588688603484	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_160526_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	134205886.7	8.12777156903366	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_160526_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	76574873	7.88408629087006	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_A_190626_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	21291345.6	7.32820312984861	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_A_190626_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	267774175	8.42776869156517	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_A_190626_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	286775761.5	8.4575424431697	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_A_190626_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	263073512.4	8.42007712492617	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_A_190626_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	341367391	8.53322203420458	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_B_120626_PS05	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	220219797.9	8.34285636171329	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_B_190626_PET05	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	242448551.5	8.38461959557409	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_B_190626_PET100	PET	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	253754604.8	8.40441393370106	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_B_190626_PS100	PS	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	294746402.7	8.46944851482642	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
MDM_B_190626_untreated	Untreated	raw	superclass	Linear polyketides	NPC superclass: Linear polyketides	Linear polyketides	Polyketides	Linear polyketides	Acetogenins | Ansa macrolides | Open-chain polyketides	21	214240599.5	8.33090177696382	kruskal_wallis	0.393452197454452	0.988378473990811	ns	0.122874178614175	0.0797682168023961
