sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	21424182.5	7.33090427945397	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_110626_PET100	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	24751565.5	7.39360269016967	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_110626_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	20380733.5	7.30921983146378	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_110626_PS100	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	23022631	7.36215497167149	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_110626_untreated	Untreated	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	24870288	7.3956808319276	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_180626_PET05	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	19095514.5	7.28093138702374	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_180626_PET100	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	21462544.5	7.33168122886218	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_180626_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	24368954.5	7.38683691489224	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_180626_PS100	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	25500532	7.40654925794532	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_180626_untreated	Untreated	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	29891242	7.47554397515359	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_210626_PET05	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	15841862.5	7.19980626691037	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_210626_PET100	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	22945981.5	7.36070665802951	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_210626_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	22798316	7.35790278802716	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_210626_PS100	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	23780877	7.37622788491328	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
A549_210626_untreated	Untreated	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	18275820.5	7.26187690764896	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_160526_PET05	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	17762156.4	7.24949571425857	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_160526_PET100	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	19967960.4	7.30033372846992	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_160526_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	16724230.5	7.22334617050698	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_160526_PS100	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	14181317.6	7.15171661406846	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_160526_untreated	Untreated	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	19356725.6	7.28683191600157	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_A_190626_PET05	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	2027747.2	6.30701402455677	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_A_190626_PET100	PET	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	19301911	7.28560033128346	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_A_190626_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	22280764	7.34793009806251	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_A_190626_PS100	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	21745530.5	7.33737002707131	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_A_190626_untreated	Untreated	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	21363530	7.32967303520481	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
MDM_B_120626_PS05	PS	raw	superclass	Monoterpenoids	NPC superclass: Monoterpenoids	Monoterpenoids	Terpenoids	Monoterpenoids	Menthane monoterpenoids	2	22851760.5	7.35891968275354	kruskal_wallis	0.230817244194568	0.988378473990811	ns	0.118866207744335	0.0427922314284048
