sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	64788710.1	6565292988.7	0.00986836538925415	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_110626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	49053939.6	8125399185.8	0.00603711134410811	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_110626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	13862608.1	6524424494.96	0.00212472504060835	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_110626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	51757838.1	7176029029.7	0.0072126015496573	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_110626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	11758215.8	7977246302.3	0.00147396925635979	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_180626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	50716829.1	7016090678.2	0.00722864504268516	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_180626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	9144435.7	7887370547.1	0.00115937696161139	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_180626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	9646216.7	8429696401.7	0.0011443136550036	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_180626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	8960935.7	7744341501.3	0.00115709459590538	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_180626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	13749209.1	9311438840.8	0.00147659339604476	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_210626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	9315808.7	8649773546.5	0.0010770002994783	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_210626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	82633424.1	7046049113	0.0117276253365224	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_210626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	7974607.2	6664796721.2	0.00119652669595063	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_210626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	8626576.2	7600031547.2	0.00113507110416906	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
A549_210626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	11069177.1	8846156040.8	0.00125129797043451	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	7817419.2	600553025.5	0.0130170340803653	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4225117.4	742612221.2	0.00568953389047727	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4148476	638761702.1	0.00649455968690894	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	6651710.2	877091373.9	0.0075838280912775	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_160526_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	35781655.2	719115917.9	0.0497578405780413	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3041620.8	154388751.9	0.0197010518095911	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	71768877.2	10556045796.8	0.00679884102262575	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3233320.1	8195354836.4	0.000394530824417642	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	25582287.2	4981492138.2	0.00513546674174695	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_A_190626_untreated	Untreated	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4093177.3	7088900344.6	0.000577406523018481	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_120626_PS05	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	4370072.4	7364168721.5	0.000593423720350321	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PET05	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	5070638.7	6775025783.1	0.000748430908211225	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PET100	PET	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3041620.8	7636027125.6	0.000398325038658241	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
MDM_B_190626_PS100	PS	raw	class	Erythromycins	Erythromycins	pathway	Polyketides	Polyketides	Macrolides	Erythromycins	NPC class: Erythromycins / NPC pathway: Polyketides	Erythromycins	3	150	3864838.6	5539891023.3	0.000697638019185763	kruskal_wallis	0.27297171512264	0.971373084261727	ns	0.00626443469541783	0.00524116553743893
