sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	94966256.5	6565292988.7	0.0144648923762357	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_110626_PET100	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	107888214	8125399185.8	0.0132778970648662	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_110626_PS05	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	96923322.7	6524424494.96	0.0148554593244004	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_110626_PS100	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	113403431.2	7176029029.7	0.0158030898050507	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_110626_untreated	Untreated	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	113523613.9	7977246302.3	0.0142309275153343	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_180626_PET05	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	61456339.3	7016090678.2	0.00875934222044103	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_180626_PET100	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	112680732.5	7887370547.1	0.0142862227439574	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_180626_PS05	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	125196053.4	8429696401.7	0.0148517867588626	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_180626_PS100	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	133373867.7	7744341501.3	0.0172221056725883	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_180626_untreated	Untreated	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	131599287	9311438840.8	0.014133077524321	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_210626_PET05	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	122424197.2	8649773546.5	0.014153456913278	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_210626_PET100	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	140508769.1	7046049113	0.019941497262737	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_210626_PS05	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	125922535.3	6664796721.2	0.0188936798176385	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_210626_PS100	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	195305705.8	7600031547.2	0.0256980125131131	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
A549_210626_untreated	Untreated	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	102705495	8846156040.8	0.0116101835109289	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_160526_PET05	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	47301666.6	600553025.5	0.078763513947196	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_160526_PET100	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	68784482.7	742612221.2	0.0926250346228479	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_160526_PS05	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	41138028.8	638761702.1	0.064402779103309	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_160526_PS100	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	81052994	877091373.9	0.0924111174866498	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_160526_untreated	Untreated	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	44146936.6	719115917.9	0.0613905707009243	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_A_190626_PET05	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	7097115.2	154388751.9	0.0459691208890458	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_A_190626_PET100	PET	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	69524703.4	10556045796.8	0.00658624495747034	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_A_190626_PS05	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	73524577.1	8195354836.4	0.00897149404360597	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
MDM_A_190626_PS100	PS	raw	class	Open-chain polyketides	Open-chain polyketides	pathway	Polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	NPC class: Open-chain polyketides / NPC pathway: Polyketides	Open-chain polyketides	7	150	78378860.4	4981492138.2	0.0157340126663978	kruskal_wallis	0.282375896587711	0.971373084261727	ns	0.00677251711532833	0.00364096722119459
