sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET05	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	3180034.1	787230408.2	0.00403952142457395	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_110626_PET100	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	1433301569.5	0.00141473870059835	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_110626_PS05	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2737740.2	779730417.2	0.00351113684884987	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_110626_PS100	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2384606	752687730.9	0.00316812125680419	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_110626_untreated	Untreated	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2605902.2	1753754950	0.0014858986998155	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_180626_PET05	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	883056375.3	0.0022962828384667	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_180626_PET100	PET	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	3799700.1	1263477831.1	0.00300733420600814	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_180626_PS05	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	4327405.4	1322990069.2	0.00327092810501347	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_180626_PS100	PS	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	1230921284.8	0.00164734108105822	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
A549_180626_untreated	Untreated	raw	superclass	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	pathway	Alkaloids	Alkaloids	Nicotinic acid alkaloids	Aminoacids | Pyridine alkaloids	NPC superclass: Nicotinic acid alkaloids / NPC pathway: Alkaloids	Nicotinic acid alkaloids	2	93	2027747.2	2350512715	0.000862682931710922	kruskal_wallis	0.137535808855372	0.833578694455869	ns	0.00214858568552769	0.00131772184390943
