data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Ceramides	NPC class: Ceramides	3060	Untreated	PET	0.669412805210068	0.669412805210068	0.452764074854763	0.426153754570419	0.119364929315902	0.15487787143524	0.450149560722417	0.426153754570419	0.78877773452597	0.896608110505334	0.0863547312108352	0.0863547312108352	0.0610965900737508	NA_[3060_650.65_9.6]	NA	N-(1,3-dihydroxyhenicos-4-en-2-yl)henicosanamide	[M + H]+	56	Fatty acids	Spingolipids	Ceramides	1	1	1
filtered	class	Ceramides	NPC class: Ceramides	3061	Untreated	PET	0.616687039298418	0.616687039298418	0.427318922933528	0.343631084928263	0.0983435378345483	0.119486924892426	0.46858265383307	0.489442955772345	0.715030577132966	0.801460646470635	0.0795530696534989	0.165907800864334	0.0576629872270703	NA_[3061_632.63_9.6]	NA	N-(1,3-dihydroxyhenicos-4-en-2-yl)henicosanamide	[M - H2O + H]+	56	Fatty acids	Spingolipids	Ceramides	1	1	1
filtered	class	Ceramides	NPC class: Ceramides	2202	Untreated	PS	0.486576742049014	0.486576742049014	0.437720175272486	0.570960854126194	0.548787006277474	0.646361018832421	0.138898388745484	0.135400391756742	0.625475130794499	0.604748335790682	0.0627687481417401	0.228676549006074	0.0590665461348983	Cer(d16:1/18:0)_[2202_538.52_7.5]	Cer(d16:1/18:0)	N-(octadecanoyl)-hexadecasphing-4-enine	[M + H]+	56	Fatty acids	Spingolipids	Ceramides	1	1	1
filtered	class	Ceramides	NPC class: Ceramides	2656	PS	PET	0.475009820858815	0.475009820858815	0.330704411095947	0.244386830892619	0.116079352414998	0.168426918108479	0.591089173273813	0.703208075162728	0.28494470759903	0.279273957445169	0.0612766070256121	0.289953156031686	0.0446256957263925	NA_[2656_596.6_8.8]	NA	N-(1,3-dihydroxyhexadecan-2-yl)docosanamide	[M + H]+	323	Fatty acids	Spingolipids	Ceramides	1	0.944	0.906
filtered	class	Ceramides	NPC class: Ceramides	2457	PS	PET	0.462507604284049	0.462507604284049	0.388113031600158	0.273902140537678	0.143673210585125	0.208745121357993	0.606180814869173	0.72259895879544	0.414485069346175	0.427894138629811	0.0596638121351487	0.349616968166835	0.0523724917918056	N-(2-hydroxyeicosanoyl)sphinganine_[2457_594.58_8.2]	N-(2-hydroxyeicosanoyl)sphinganine	(2S)-N-[(2S,3R)-1,3-dihydroxyoctadecan-2-yl]-2-hydroxyicosanamide	[M - H2O + H]+	21	Fatty acids	Spingolipids	Ceramides	1	1	1
filtered	class	Ceramides	NPC class: Ceramides	2890	Untreated	PS	0.460851232054342	0.460851232054342	0.610831032791864	0.67562682393602	0.602530057036113	0.80759017110834	0.384555904642569	0.370482157855047	0.845407136696911	0.889952424772218	0.0594501389314571	0.409067107098292	0.0824263568764411	NA_[2890_648.63_9.3]	NA	N-[(2S,3R,4E,14Z)-1,3-dihydroxyoctadeca-4,14-dien-2-yl]tetracosanamide	[M + H]+	56	Fatty acids	Spingolipids	Ceramides	1	1	1
filtered	class	Ceramides	NPC class: Ceramides	2272	PS	PET	0.458349979181435	0.458349979181435	0.335591107980402	0.244900873204464	0.126813260075489	0.173419407414442	0.585163239256924	0.689443873707086	0.294796824608792	0.300149734438892	0.0591274755198086	0.468194582618101	0.0452851131425379	N-(2-hydroxyeicosanoyl)sphinganine_[2272_612.59_7.7]	N-(2-hydroxyeicosanoyl)sphinganine	(2S)-N-[(2S,3R)-1,3-dihydroxyoctadecan-2-yl]-2-hydroxyicosanamide	[M + H]+	-1	Fatty acids	Spingolipids	Ceramides	1	1	0.999
filtered	class	Ceramides	NPC class: Ceramides	2217	PS	PET	0.452094916129902	0.452094916129902	0.352730282274997	0.231454740471604	0.125944464723269	0.172163944000494	0.578039380853171	0.639702593880038	0.354207001248552	0.361903039764591	0.0583205679071697	0.52651515052527	0.0475978962546154	Cer(d18:0/17:0)_[2217_554.55_7.5]	Cer(d18:0/17:0)	C17 dihydro Ceramide (d18:0/17:0)	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.997	0.995
filtered	class	Ceramides	NPC class: Ceramides	2053	PS	PET	0.450666195171566	0.450666195171566	0.388261006033038	0.309576430886263	0.150438380662739	0.202476575291653	0.601104575834306	0.679372313733994	0.413240061602069	0.41333748575959	0.0581362618804967	0.584651412405767	0.052392459659773	N-stearoylhexadecasphinganine_[2053_540.54_7.1]	N-stearoylhexadecasphinganine	2-Octadecanoylaminohexadecane-1,3-diol	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.963	0.915
filtered	class	Ceramides	NPC class: Ceramides	2512	PS	PET	0.443235013031161	0.443235013031161	0.323195918201778	0.249493541056934	0.11183701206604	0.145955492186086	0.555072025097201	0.612214112478937	0.302678717442091	0.319727918461759	0.0571776340632231	0.64182904646899	0.043612489648649	NA_[2512_582.58_8.4]	NA	N-(1,3-dihydroxyoctadecan-2-yl)nonadecanamide	[M + H]+	21	Fatty acids	Spingolipids	Ceramides	1	0.924	0.797
