data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3376	PS	PET	0.63782398927651	0.63782398927651	0.431202189478001	0.285058677858681	0.137966572545611	0.128841039778151	0.77579056182212	0.69986457781391	0.379849434066271	0.276183375906619	0.106721860679406	0.106721860679406	0.0977722872169438	NA_[3376_922.79_11.1]	NA	1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3381	PS	PET	0.577538056314681	0.577538056314681	0.453390319553065	0.356415803388415	0.200451818195983	0.244939651199534	0.777989874510664	0.770236261200517	0.381729265952548	0.251858655173284	0.0966347096053646	0.203356570284771	0.102803301157602	NA_[3381_948.8_11.1]	NA	1-Vaccenoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	0.999
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1623	Untreated	PET	0.57698163548692	0.57698163548692	0.33082782843729	0.31480086764435	0.0440192740771503	0.0168793838270436	0.327463301670649	0.31480086764435	0.62100090956407	0.498595914235069	0.0965416082685415	0.299898178553313	0.0750130547817609	1-stearoyl-2-arachidonoyl-sn-glycerol_[1623_627.53_6.1]	1-stearoyl-2-arachidonoyl-sn-glycerol	1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate	[M - H2O + H]+	399	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1622	Untreated	PET	0.576577006701178	0.576577006701178	0.395701390047974	0.305076834394083	0.103013971336616	0.146047597867373	0.404499220769512	0.439565221520317	0.679590978037794	0.7336960997193	0.0964739050500599	0.396372083603372	0.0897227122310061	NA_[1622_904.59_6.1]	NA	2-(6-{3-[20-(2-amino-3-hydroxypropoxy)-8-hydroxyicosyl]oxiran-2-yl}-2,6-dihydroxyhexanamido)-1-[4-(3-hydroxy-2-propanamidopropoxy)phenyl]ethyl acetate	[M + Na]+	10	Fatty acids	Glycerolipids	Glycerophosphoserines	1	0.803	0.683
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3416	PS	PET	0.576203939531475	0.576203939531475	0.42924318217018	0.433003839504595	0.14464370871076	0.0009272866276841	0.720847648242235	0.710014401814291	0.422238189557546	0.212552528799957	0.0964114827781188	0.492783566381491	0.0973280950726688	NA_[3416_848.77_11.3]	NA	[2-[(Z)-octadec-9-enoyl]oxy-3-tridecanoyloxypropyl] (Z)-nonadec-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1621	Untreated	PET	0.574241016175116	0.574241016175116	0.371566526030594	0.377748586864942	0.108285490094841	0.144117799242557	0.323887581726983	0.377748586864942	0.682526506269957	0.565193193213243	0.0960830429005292	0.58886660928202	0.0842502890517412	NA_[1621_887.56_6.1]	NA	methyl (3R,8Z,12Z,13E,19E,21S,22S)-16-ethenyl-11-ethyl-14-hydroxy-12-(hydroxymethylidene)-17,21,26-trimethyl-4-oxo-22-[3-oxo-3-[(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-enoxy]propyl]-7,23,24,25-tetrazahexacyclo[18.2.1.15,8.110,13.115,18.02,6]hexacosa-2(6),5(26),8,10,13,15,17,19-octaene-3-carboxylate	[M - H2O + H]+	10	Fatty acids	Glycerolipids	Diacylglycerols	1	0.978	0.519
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3371	PS	PET	0.546766520245299	0.546766520245299	0.396597772353364	0.265833095674399	0.155758243783088	0.201441635674866	0.702524764028387	0.655498798767296	0.331510309248617	0.24448534318162	0.0914859606707046	0.680352569952725	0.0899259610788955	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]_[3371_896.77_11.1]	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]	Triglyceride	[M + H3N + H]+	483	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	3447	PS	PET	0.497940262045728	0.497940262045728	0.382743758663119	0.390014069475191	0.176468422617401	0.187893587017391	0.674408684663129	0.633211984514195	0.297354168708827	0.413675504005223	0.0833162630539968	0.763668833006722	0.0867846537324048	NA_[3447_850.79_11.6]	NA	2,3-di(tetradecanoyloxy)propyl (Z)-docos-11-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	1
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	2412	PS	PET	0.488216551794703	0.488216551794703	0.439708145931577	0.35839944379494	0.166796693732414	0.23601534842152	0.655013245527118	0.870966245132368	0.497314498535199	0.519993216167284	0.0816892743107954	0.845358107317517	0.0997009574271777	NA_[2412_526.52_8]	NA	5-hydroxytritriacontane-12,14-dione	[M + H3N + H]+	21	Fatty acids	Glycerolipids	Wax monoesters	0.991	0.935	0.576
filtered	superclass	Glycerolipids	NPC superclass: Glycerolipids	1964	PS	PET	0.464311643813919	0.464311643813919	0.366157177815318	0.264393068751927	0.137133831563555	0.192462102601474	0.601445475377473	0.695211461850623	0.359892226504926	0.353572250372632	0.0776894619770304	0.923047569294548	0.0830237545853911	12-(octadecanoyloxy)octadecanoate_[1964_584.56_6.9]	12-(octadecanoyloxy)octadecanoate	12-Octadecanoyloxy-octadecanoic acid	[M + H3N + H]+	168	Fatty acids	Glycerolipids	Wax monoesters	0.999	0.963	0.771
