data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
raw	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0398761213050243	NA	NA	NA	0.0401418838732396	0.56114396864749	0.700716317748094	ns
raw	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.102528483505303	0.108564187606221	0.0060357041009179	0.0060357041009179	0.0858220557642375	0.0977485141843787	0.0119264584201412	0.0119264584201412	0.662520583540057	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.102528483505303	0.0686880663011964	-0.0338404172041064	0.0338404172041064	0.0858220557642375	0.0576066303111391	-0.0282154254530984	0.0282154254530984	1	1	ns
raw	pathway_normalized_ratio	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.108564187606221	0.0686880663011964	-0.0398761213050243	0.0398761213050243	0.0977485141843787	0.0576066303111391	-0.0401418838732396	0.0401418838732396	0.382733088885226	0.68573011758603	ns
raw	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.000846448128469576	NA	NA	NA	0.00104944516288607	0.252138238153004	0.555997140542521	ns
raw	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.00217189307512821	0.00171497689164844	-0.000456916183479762	0.000456916183479762	0.00223538273347015	0.00136486905151128	-0.00087051368195887	0.00087051368195887	0.382733088885226	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.00217189307512821	0.00132544494665863	-0.000846448128469576	0.000846448128469576	0.00223538273347015	0.00118593757058408	-0.00104944516288607	0.00104944516288607	0.190430263825524	0.545900089633169	ns
raw	pathway_normalized_ratio	NPC superclass: Carotenoids (C40) / NPC pathway: Terpenoids	Carotenoids (C40)	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.00171497689164844	0.00132544494665863	-0.000389531944989814	0.000389531944989814	0.00136486905151128	0.00118593757058408	-0.000178931480927198	0.000178931480927198	0.662520583540057	0.78050370115678	ns
raw	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.000103321192442428	NA	NA	NA	0.000204162811521821	0.586646219510032	0.700716317748094	ns
raw	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.000895874327484395	0.000792553135041966	-0.000103321192442428	0.000103321192442428	0.000872974707969264	0.000752530539891888	-0.000120444168077377	0.000120444168077377	0.382733088885226	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.000895874327484395	0.000840061449914678	-5.5812877569717e-05	5.5812877569717e-05	0.000872974707969264	0.000956693351413708	8.3718643444444e-05	8.3718643444444e-05	1	1	ns
raw	pathway_normalized_ratio	NPC superclass: Chromanes / NPC pathway: Polyketides	Chromanes	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.000792553135041966	0.000840061449914678	4.75083148727115e-05	4.75083148727115e-05	0.000752530539891888	0.000956693351413708	0.000204162811521821	0.000204162811521821	0.662520583540057	0.78050370115678	ns
raw	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.000566798146980295	NA	NA	NA	0.00143568966999388	0.670320046035639	0.75852005209296	ns
raw	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.00301145893996189	0.00278458453615227	-0.000226874403809619	0.000226874403809619	0.0029768419909655	0.00263637175732628	-0.000340470233639219	0.000340470233639219	0.662520583540057	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.00301145893996189	0.00335138268313257	0.000339923743170676	0.000339923743170676	0.0029768419909655	0.00407206142732016	0.00109521943635466	0.00109521943635466	0.662520583540057	0.825750292528188	ns
raw	pathway_normalized_ratio	NPC superclass: Diterpenoids / NPC pathway: Terpenoids	Diterpenoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.00278458453615227	0.00335138268313257	0.000566798146980295	0.000566798146980295	0.00263637175732628	0.00407206142732016	0.00143568966999388	0.00143568966999388	0.662520583540057	0.78050370115678	ns
raw	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	7.19739469097231e-05	NA	NA	NA	0.000100982402383719	0.11329301336363	0.503281959807815	ns
raw	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	3.12351453483909e-05	2.53602837462821e-05	-5.8748616021088e-06	5.8748616021088e-06	2.77968976426791e-05	2.58012502633962e-05	-1.99564737928288e-06	1.99564737928288e-06	0.382733088885226	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	3.12351453483909e-05	9.73342306560052e-05	6.60990853076143e-05	6.60990853076143e-05	2.77968976426791e-05	0.000126783652647115	9.89867550044357e-05	9.89867550044357e-05	0.382733088885226	0.70032012008786	ns
raw	pathway_normalized_ratio	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	2.53602837462821e-05	9.73342306560052e-05	7.19739469097231e-05	7.19739469097231e-05	2.58012502633962e-05	0.000126783652647115	0.000100982402383719	0.000100982402383719	0.0808555983700523	0.386310081101361	ns
raw	pathway_normalized_ratio	NPC superclass: Fatty Acids and Conjugates / NPC pathway: Fatty acids	Fatty Acids and Conjugates	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.0203423625299083	NA	NA	NA	0.0113712465540947	0.429796067489516	0.672044760074516	ns
