data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Primary amides	NPC class: Primary amides	2723	PET	Untreated	461467700	461467700	1367497433.33333	1480857000	1527187300	1480857000	1509585400	1549468400	1065719600	1035734400	0.876966288753997	0.876966288753997	0.806026862499616	NA_[2723_480.51_8.9]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.997	0.833
raw	class	Primary amides	NPC class: Primary amides	439	Untreated	PS	16551336.6666667	16551336.6666667	153734287.777778	153781870	154919980	159429230	144865773.333333	142931020	161417110	153781870	0.0314539117049462	0.908420200458943	0.090613673280607	oleoyl ethanolamide_[439_343.33_1.7]	oleoyl ethanolamide	N-(2-hydroxyethyl)octadec-9-enamide	[M + H3N + H]+	159	Fatty acids	Fatty amides	Primary amides	1	0.985	0.707
raw	class	Primary amides	NPC class: Primary amides	2829	PS	Untreated	11571982	11571982	20067420	20400362	22641086	21848894	24566578	20400362	12994596	13663640	0.0219912208548248	0.930411421313768	0.0118280877073642	NA_[2829_494.53_9.1]	NA	Tritriacontanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.76
raw	class	Primary amides	NPC class: Primary amides	356	PS	Untreated	4484887.33333333	4484887.33333333	16101824	16327003	16317620.6666667	16327003	18236369.3333333	20312442	13751482	13968199	0.00852301255362649	0.938934433867394	0.00949069618917336	Linoleyl hydroxamic acid_[356_334.21_1.4]	Linoleyl hydroxamic acid	(9Z,12Z)-N-hydroxyoctadeca-9,12-dienamide	[M + K]+	102	Fatty acids	Fatty amides	Primary amides	1	0.992	0.945
raw	class	Primary amides	NPC class: Primary amides	2915	PS	Untreated	3633057.26666667	3633057.26666667	5331374.45555556	4409553	6190456.5	5075311.5	6718362.06666667	4026958.2	3085304.8	3081721	0.00690420748403281	0.945838641351427	0.00314240518517637	NA_[2915_480.51_9.3]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.879
raw	class	Primary amides	NPC class: Primary amides	2608	PS	Untreated	3397869	3397869	14185836.1111111	14331784	14974438	14331784	15490469.6666667	15533193	12092600.6666667	12922351	0.00645725923309964	0.952295900584527	0.00836137947601216	NA_[2608_466.5_8.6]	NA	N-nonyldocosanamide	[M + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.853
raw	class	Primary amides	NPC class: Primary amides	9	PS	PET	2936910.83333333	2936910.83333333	6587204.33333333	5800273	5432699.5	5800273	8369610.33333333	7192591.5	5959303.16666667	5122665	0.00558126125384234	0.957877161838369	0.00388261324081501	NA_[9_187.14_0.5]	NA	(3R)-3-(cyclobutylmethyl)-4-oxobutanamide	[M + H3N + H]+	16	Fatty acids	Fatty amides	Primary amides	0.473	0.525	0.902
raw	class	Primary amides	NPC class: Primary amides	382	Untreated	PS	2494103.6	2494103.6	5063480.43333333	5136530	4973204.9	5136530	3861566.4	3355282	6355670	5626042.5	0.0047397570357795	0.962616918874149	0.00298450377128644	C20 sphingosine_[382_345.35_1.5]	C20 sphingosine	C20 Sphingosine	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.989
raw	class	Primary amides	NPC class: Primary amides	291	PS	Untreated	2472506.4	2472506.4	7654575.47777778	7709388	7857050.16666667	7709388	8789591.33333333	9450017	6317084.93333333	4723296	0.00469871404115284	0.967315632915301	0.00451174042870456	NA_[291_311.27_1.2]	NA	Lanyuamide I	[M + H3N + H]+	297	Fatty acids	Fatty amides	Primary amides	0.999	0.947	0.71
raw	class	Primary amides	NPC class: Primary amides	824	Untreated	PS	2461993	2461993	9853331.88888889	9554614	9877931.66666667	9554614	8610035.5	9102016	11072028.5	12674870	0.00467873453363761	0.971994367448939	0.00580772584575127	NA_[824_589.57_3.2]	NA	1-(5-dodecanoyl-4-nonyl-1,4-dihydropyridin-3-yl)dodecan-1-one	[M + H3N + H]+	99	Fatty acids	Fatty amides	Primary amides	1	0.994	0.73
raw	class	Primary amides	NPC class: Primary amides	182	PS	Untreated	2355735.83333333	2355735.83333333	10959882.6111111	10996332	10751405.6666667	10996332	12241989	12793830	9886253.16666667	9236242	0.00447680500941483	0.976471172458354	0.00645994616082374	NA_[182_332.22_0.9]	NA	2-[[(E)-2-oxohexadec-5-enylidene]amino]acetic acid	[M + Na]+	24	Fatty acids	Fatty amides	Primary amides	1	0.942	0.81
raw	class	Primary amides	NPC class: Primary amides	519	PS	PET	2163828.83333333	2163828.83333333	6941097.72222222	7142868.5	5863527	5507642.5	8027355.83333333	7317108	6932410.33333333	8414969	0.00411210782784412	0.980583280286198	0.00409120418289098	linoleoyl ethanolamide_[519_341.32_2]	linoleoyl ethanolamide	N-(2-hydroxyethyl)octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	Primary amides	1	0.982	0.742
raw	class	Primary amides	NPC class: Primary amides	641	Untreated	PS	1691635.33333333	1691635.33333333	8835247.11111111	8736977	8963068	8722481	7925519	8363117.5	9617154.33333333	10050117	0.0032147583898038	0.983798038676002	0.00520764890287133	NA_[641_535.52_2.5]	NA	(Z)-3-oxo-2-[(Z)-tetradec-7-enyl]icos-11-enamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.987	0.705
raw	class	Primary amides	NPC class: Primary amides	1865	Untreated	PET	1106950	1106950	24336422.6666667	24012958	23875214.6666667	22967820	24151888.6666667	24012958	24982164.6666667	25330468	0.00210363116061262	0.985901669836614	0.0143443124120997	NA_[1865_382.4_6.6]	NA	N-pentylicosanamide	[M + H]+	92	Fatty acids	Fatty amides	Primary amides	1	0.999	0.781
raw	class	Primary amides	NPC class: Primary amides	671	Untreated	PS	958451.166666667	958451.166666667	6540398.66666667	6438230.5	6359650.16666667	6333941.5	6151547.33333333	6038533	7109998.5	6567389.5	0.00182142620725915	0.987723096043874	0.00385502516369623	NA_[671_297.29_2.6]	NA	Octadecadienamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	0.999	0.995
raw	class	Primary amides	NPC class: Primary amides	3420	PET	PS	792079.666666667	792079.666666667	1277900.15555556	1013873.6	1805953.26666667	1850259	1013873.6	1013873.6	1013873.6	1013873.6	0.00150525630650676	0.98922835235038	0.000753216662688349	NA_[3420_480.51_11.3]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.808
raw	class	Primary amides	NPC class: Primary amides	3372	PET	Untreated	693217.533333333	693217.533333333	1302845.08888889	1013873.6	1757246.86666667	1777969.5	1087259.06666667	1013873.6	1064029.33333333	1013873.6	0.00131738019260402	0.990545732542984	0.000767919641911438	NA_[3372_480.51_11.1]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.998	0.843
raw	class	Primary amides	NPC class: Primary amides	489	Untreated	PS	658666	658666	2836115.82222222	2822759.8	2795751.33333333	2833405	2526965.06666667	2595920.2	3185631.06666667	3642012.2	0.00125171897740284	0.991797451520387	0.00167165618168592	(4E,8E,9Me-d19:2)sphingosine_[489_334.27_1.9]	(4E,8E,9Me-d19:2)sphingosine	(4E,8E,9Me-d19:2)sphingosine	[M + Na]+	-1	Fatty acids	Fatty amides	Primary amides	0.999	0.978	0.942
raw	class	Primary amides	NPC class: Primary amides	766	Untreated	PS	571098.9	571098.9	2831816.71111111	2841485	2649983.56666667	2737280.5	2637183.83333333	2659371.2	3208282.73333333	3215321.5	0.00108530777526681	0.992882759295654	0.00166912221053836	oleamide_[766_299.31_2.9]	oleamide	Oleamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	Primary amides	1	1	1
raw	class	Primary amides	NPC class: Primary amides	3438	PET	PS	563883.233333333	563883.233333333	1201834.67777778	1013873.6	1577756.83333333	1457183.1	1013873.6	1013873.6	1013873.6	1013873.6	0.00107159523066715	0.993954354526321	0.000708382342050314	NA_[3438_480.51_11.4]	NA	N-decyldocosanamide	[M + H]+	84	Fatty acids	Fatty amides	Primary amides	0.999	0.999	0.877
