data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Sphingoid bases	NPC class: Sphingoid bases	181	Untreated	PET	170751496.666667	170751496.666667	279340508.888889	278216700	179479273.333333	185187300	308311483.333333	356756130	350230770	372622270	0.469093624107664	0.469093624107664	0.423357582535128	NA_[181_288.29_0.9]	NA	2-[2-Hydroxyethyl(tridecyl)amino]ethanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.87	0.579	0.914
raw	class	Sphingoid bases	NPC class: Sphingoid bases	280	Untreated	PET	60147900	60147900	105298246.666667	103979310	66119326.6666667	66661596	123508186.666667	140731520	126267226.666667	131539890	0.165240111766314	0.634333735873978	0.159585916598009	NA_[280_316.32_1.2]	NA	1,1'-(Tridecylimino)bis-2-propanol	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.906	0.571	0.902
raw	class	Sphingoid bases	NPC class: Sphingoid bases	399	PS	PET	33863916	33863916	53985020.6666667	54538820	31812308	33417124	65676224	75534050	64466530	67882460	0.0930319639536055	0.727365699827584	0.0818175922047875	n-oleyldiethanolamine_[399_356.35_1.6]	n-oleyldiethanolamine	Ethanol, 2,2'-(9-octadecen-1-ylimino)bis-	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.819	0.379	0.82
raw	class	Sphingoid bases	NPC class: Sphingoid bases	512	PS	PET	24169534.3333333	24169534.3333333	33252395.2222222	32017324	18980412.3333333	19812268	43149946.6666667	46454410	37626826.6666667	40067636	0.0663992683797732	0.793764968207357	0.0503960335390604	NA_[512_358.37_2]	NA	Stearylbis(2-hydroxyethyl)aminium	[M + H]+	21	Fatty acids	Spingolipids	Sphingoid bases	0.908	0.489	0.897
raw	class	Sphingoid bases	NPC class: Sphingoid bases	247	Untreated	PET	13905195.6666667	13905195.6666667	25851298.1111111	27362640	17015939.6666667	18307692	29616819.3333333	30989290	30921135.3333333	32675918	0.038200769870477	0.831965738077834	0.0391792193593668	NA_[247_346.33_1]	NA	Peg-3 myristamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.926	0.229	0.72
raw	class	Sphingoid bases	NPC class: Sphingoid bases	85	Untreated	PET	10347429.3333333	10347429.3333333	18368169.2222222	22071298	12297156	13767616	20162766.3333333	22071298	22644585.3333333	22622068	0.0284267676765778	0.860392505754412	0.0278380810160594	NA_[85_262.24_0.6]	NA	PEG-3 caprylamine	[M + H]+	24	Fatty acids	Spingolipids	Sphingoid bases	0.748	0.27	0.802
raw	class	Sphingoid bases	NPC class: Sphingoid bases	556	Untreated	PET	8667495	8667495	17148189.2222222	16488499	11573122	11354738	19630828.6666667	21260420	20240617	20976312	0.0238116017771854	0.884204107531597	0.0259891269005407	NA_[556_342.37_2.1]	NA	(2-Hydroxyethyl)stearyldimethylaminium	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.91	0.483	0.839
raw	class	Sphingoid bases	NPC class: Sphingoid bases	2227	PS	PET	6277442.76666667	6277442.76666667	9103559.91111111	7584598.5	5997597.56666667	6958832.5	12275040.3333333	13049607	9038041.83333333	9115756	0.017245578721296	0.901449686252893	0.0137970004127282	NA_[2227_556.56_7.5]	NA	[16-Ethyl-16-hydroxy-15-(trimethylazaniumyl)triacontan-15-yl]phosphanide	[M + H]+	1	Fatty acids	Spingolipids	Sphingoid bases	0.882	0.241	0.724
raw	class	Sphingoid bases	NPC class: Sphingoid bases	178	Untreated	PET	4869894.16666667	4869894.16666667	10847079.5	9745414	7864936.16666667	7954029.5	11941472	12536429	12734830.3333333	13313055	0.0133787190640092	0.914828405316902	0.0164394107140148	NA_[178_244.26_0.9]	NA	2-(Tridecylamino)ethanol	[M + H]+	67	Fatty acids	Spingolipids	Sphingoid bases	0.998	0.744	0.955
raw	class	Sphingoid bases	NPC class: Sphingoid bases	124	Untreated	PET	4052654.83333333	4052654.83333333	6823631.38888889	6909899.5	4450144.33333333	4458656	7517950.66666667	8750499	8502799.16666667	8652878	0.0111335746985396	0.925961980015442	0.0103416296490671	NA_[124_260.26_0.7]	NA	1-[2-Hydroxypropyl(nonyl)amino]propan-2-ol	[M + H]+	308	Fatty acids	Spingolipids	Sphingoid bases	0.944	0.722	0.955
