data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	472	PS	Untreated	0.397845423444259	0.397845423444259	0.535709987480656	0.546479555222631	0.468840442376423	0.418474745400767	0.768067471754903	0.810722789292631	0.370222048310643	0.29061027364232	0.0305952575239693	0.0305952575239693	0.00870931892182042	1-stearoyl-sn-glycero-3-phosphocholine_[472_524.37_1.8]	1-stearoyl-sn-glycero-3-phosphocholine	2-Lysophosphatidylcholine	[M + H]+	152	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.998	1	0.999
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2286	PS	Untreated	0.266984543087444	0.266984543087444	0.643577169927279	0.750834382378267	0.654653527695433	0.680192148913836	0.771531262586924	0.831663283140904	0.504546719499479	0.657192647823644	0.0205317451686712	0.0511270026926405	0.0104629724191985	NA_[2286_746.57_7.7]	NA	16:0-17:0 cyclo PC, 1-palmitoyl-2-cis-9,10-methylenehexadecanoyl-sn-glycero-3-phosphocholine, powder	[M + H]+	10	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.995	0.999	0.978
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2069	PET	Untreated	0.266867726193111	0.266867726193111	0.647529787950971	0.755002794983492	0.789730746710384	0.821839220367726	0.629995596625255	0.771096357966755	0.522863020517273	0.667393173940252	0.0205227616721807	0.0716497643648212	0.0105272322085415	PC(12:0/22:1(11Z))_[2069_782.57_7.1]	PC(12:0/22:1(11Z))	1-dodecanoyl-2-(11Z-docosenoyl)-glycero-3-phosphocholine	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.992	0.999	0.971
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1899	PET	Untreated	0.239261313847297	0.239261313847297	0.335922501063174	0.14756039162037	0.419887750262455	0.391103456210681	0.407253316511909	0.465169360752916	0.180626436415158	0	0.0183997630268251	0.0900495273916463	0.00546126871468937	NA_[1899_768.55_6.7]	NA	[(2S)-3-[(E)-icos-11-enoyl]oxy-2-tridecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.993
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2060	Untreated	PS	0.239183975358811	0.239183975358811	0.486814150968621	0.531406601774109	0.50701759383374	0.413909869663218	0.357120441856656	0.501088666767607	0.596304417215467	0.634928519934915	0.0183938155134637	0.10844334290511	0.00791439360012687	PC(P-18:1(9Z)/20:3(5Z,8Z,11Z))_[2060_816.59_7.1]	PC(P-18:1(9Z)/20:3(5Z,8Z,11Z))	NA	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	1	1	0.981
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1540	Untreated	PS	0.238183670414131	0.238183670414131	0.281310217065217	0.190430069692577	0.236286296195841	0.208679378103602	0.184730342292839	0.190430069692577	0.42291401270697	0.309023774858275	0.018316889688554	0.126760232593664	0.00457340810073281	NA_[1540_754.54_5.8]	NA	[O-[1-O,2-O-(1,32-Dioxodotriacontane-1,32-diyl)-L-glycero-3-phospho]choline]anion	[M + Na]+	-1	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.999	1	0.996
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1983	PET	Untreated	0.234099609936401	0.234099609936401	0.594513451722939	0.615683717922095	0.719928240229464	0.693878457557766	0.57778348464629	0.637709338092395	0.485828630293064	0.566367405734199	0.0180028157425026	0.144763048336167	0.00966531775656755	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[1983_756.55_6.9]	1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine	2-[[(2R)-2-(8,9-ditritiohexadecanoyloxy)-3-hexadecanoyloxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.986	0.999	0.967
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	1810	PET	Untreated	0.232561817027868	0.232561817027868	0.430880262665656	0.474102505266511	0.565274728160578	0.576693101722827	0.39465314870368	0.433260096582473	0.33271291113271	0.433631075121704	0.0178845558172086	0.162647604153375	0.00700504697013597	1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine_[1810_742.54_6.5]	1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine	1-Pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.987	0.999	0.966
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2186	PS	Untreated	0.213873274632083	0.213873274632083	0.331084191666292	0.175430022647455	0.351217233414	0.28464637384043	0.427954308108479	0.219178106107295	0.214081033476397	0.150540918551578	0.0164473625414971	0.179094966694872	0.00538260977503051	NA_[2186_770.57_7.4]	NA	1-Eicosanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine	[M + Na]+	10	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.994	0.998	0.934
filtered	class	Glycerophosphocholines	NPC class: Glycerophosphocholines	2289	PS	Untreated	0.198089119990802	0.198089119990802	0.387978665123512	0.401642703659273	0.440453368348544	0.47917662322051	0.460785873506397	0.552662760492296	0.262696753515595	0.298188027316931	0.0152335235789489	0.194328490273821	0.00630757314291223	NA_[2289_784.58_7.7]	NA	1-Heneicosanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine	[M + Na]+	45	Fatty acids	Glycerophospholipids	Glycerophosphocholines	0.994	0.999	0.983
