data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	N-acyl amines	NPC class: N-acyl amines	2418	PET	Untreated	0.305694652441835	0.305694652441835	0.195817998393909	0	0.38889485559424	0.297628166608592	0.11535893643508	0	0.0832002031524052	0	0.0578696051089235	0.0578696051089235	0.0256046337305302	NA_[2418_576.5_8]	NA	N-[(E,2S,3R)-1,3,6-trihydroxyoctadec-4-en-2-yl]hexadecanamide	[M + Na]+	529	Fatty acids	Fatty amides	N-acyl amines	0.999	0.961	0.757
filtered	class	N-acyl amines	NPC class: N-acyl amines	1036	PS	Untreated	0.290796129211123	0.290796129211123	0.496069348096263	0.440084035368423	0.51853425896922	0.424089612298988	0.630234957265346	0.657851529289296	0.339438828054223	0.391575855697624	0.0550492363220292	0.112918841430953	0.0648646910249637	NA_[1036_418.33_3.8]	NA	N-[(2S,3R)-1,3-dihydroxyoctadec-4-yn-2-yl]hexanamide	[M + Na]+	363	Fatty acids	Fatty amides	N-acyl amines	1	0.992	0.724
filtered	class	N-acyl amines	NPC class: N-acyl amines	2305	PET	PS	0.28773592450978	0.28773592450978	0.375018720657001	0.354907810994082	0.497908767898576	0.43191505280425	0.210172843388796	0.216523817692656	0.416974550683631	0.378514500900943	0.054469923480916	0.167388764911869	0.0490364372185986	NA_[2305_582.59_7.8]	NA	N,N'-Ethylenebisheptadecanamide	[M + H3N + H]+	74	Fatty acids	Fatty amides	N-acyl amines	1	0.987	0.846
filtered	class	N-acyl amines	NPC class: N-acyl amines	1930	PS	PET	0.234980002397188	0.234980002397188	0.366664755910808	0.233516226549685	0.232696562948826	0.176620378315728	0.467676565346014	0.459414785615304	0.399621139437583	0.433090615972945	0.044482950024147	0.211871714936016	0.0479440953027459	NA_[1930_498.49_6.8]	NA	N-(1,3-dihydroxypropan-2-yl)octacosanamide	[M + H]+	21	Fatty acids	Fatty amides	N-acyl amines	1	0.971	0.876
filtered	class	N-acyl amines	NPC class: N-acyl amines	2251	PS	PET	0.231987834062928	0.231987834062928	0.368534143429462	0.309631399826963	0.25501356325764	0.242638821307188	0.487001397320568	0.479460861328493	0.363587469710178	0.407439166029369	0.0439165168250711	0.255788231761087	0.0481885313765908	NA_[2251_468.48_7.6]	NA	N-(1-hydroxypropan-2-yl)heptacosanamide	[M + H]+	146	Fatty acids	Fatty amides	N-acyl amines	1	0.994	0.859
filtered	class	N-acyl amines	NPC class: N-acyl amines	2738	PET	PS	0.218132912307892	0.218132912307892	0.0727109707692974	0	0.218132912307892	0	0	0	0	0	0.041293707284981	0.297081939046068	0.00950749057803189	NA_[2738_424.45_8.9]	NA	1-(1-Hydroxydecylamino)octadecan-1-ol	[M - H2O + H]+	92	Fatty acids	Fatty amides	N-acyl amines	1	0.996	0.713
filtered	class	N-acyl amines	NPC class: N-acyl amines	820	PS	Untreated	0.216486400763486	0.216486400763486	0.0877105889300384	0	0.0466453660266287	0.0362533064431447	0.216486400763486	0.0326129849001206	0	0	0.0409820139919485	0.338063953038016	0.0114688002239971	NA_[820_398.36_3.2]	NA	3-(Henicosanoylamino)propanoic acid	[M + H]+	20	Fatty acids	Fatty amides	N-acyl amines	1	0.989	0.881
filtered	class	N-acyl amines	NPC class: N-acyl amines	479	PS	Untreated	0.210163579359856	0.210163579359856	0.462023475444881	0.499719101834419	0.505829557060334	0.499719101834419	0.545202224317082	0.554663580412728	0.335038644957226	0.37119468732445	0.0397850706536219	0.377849023691638	0.060412944472426	NA_[479_371.33_1.9]	NA	N-(1,3-dihydroxypropan-2-yl)octadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl amines	1	0.994	0.834
filtered	class	N-acyl amines	NPC class: N-acyl amines	678	Untreated	PET	0.196368642757115	0.196368642757115	0.142055228021234	0	0.0315651873199601	0	0.166666666666667	0	0.227933830077075	0.267954676273807	0.0371736166182747	0.415022640309913	0.0185747587699977	NA_[678_561.54_2.7]	NA	(Z)-N-[4-[[(Z)-hexadec-9-enoyl]amino]butyl]hexadec-9-enamide	[M + H]+	99	Fatty acids	Fatty amides	N-acyl amines	1	0.999	0.898
filtered	class	N-acyl amines	NPC class: N-acyl amines	3102	PET	Untreated	0.188762472456343	0.188762472456343	0.18042546210229	0.128911075606758	0.287690505011442	0.169591011857171	0.154657848740328	0.132689985551132	0.098928032555099	0.089821979859611	0.0357337285856222	0.450756368895535	0.0235919471687057	NA_[3102_536.58_9.8]	NA	N-hydroxy-N-octadecyloctadecan-1-amine oxide	[M - H2O + H]+	306	Fatty acids	Fatty amides	N-acyl amines	1	0.992	0.829
