data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	691	PET	Untreated	0.325387208572319	0.325387208572319	0.308927623405945	0.260192597916569	0.448450842188566	0.500134552865203	0.355268394413023	0.1794493937583	0.123063633616247	0	0.0582168388981389	0.0582168388981389	0.0295079769732973	NA_[691_523.46_2.7]	NA	N-[3-[3-(cyclopentanecarbonylamino)propyl-dodecanoylamino]propyl]cyclopentanecarboxamide	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.911	0.736
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	697	PET	Untreated	0.307415634605247	0.307415634605247	0.199140773799913	0	0.383850482115098	0.254413909287514	0.137136991774789	0	0.076434847509851	0	0.055001444442476	0.113218283340615	0.0190214177124937	Putative (3-hydroxyoctadecanoyl)glycine_[697_375.32_2.7]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.943	0.726
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	2406	Untreated	PS	0.297536240045371	0.297536240045371	0.206866229551741	0.0582835045846751	0.187280627958411	0.182845892954542	0.0678909103257199	0	0.365427150371091	0.170493461770129	0.0532338669030055	0.16645215024362	0.0197593334997576	NA_[2406_579.58_8]	NA	1-[6-(2-Oxohexadecyl)piperidin-2-yl]hexadecan-2-one	[M + H3N + H]+	57	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.989	0.885
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	897	Untreated	PET	0.287060903292551	0.287060903292551	0.0956869677641836	0	0	0	0	0	0.287060903292551	0	0.0513596660245554	0.217811816268176	0.00913977458635973	NA_[897_348.29_3.4]	NA	(E)-N-(2-Hydroxyethyl)-6-octadeceneamide	[M + Na]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.983	0.827
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	298	Untreated	PS	0.258217647740304	0.258217647740304	0.645999661600719	0.708161433070374	0.682860412401141	0.726758027827009	0.498460462330356	0.657338564603731	0.756678110070661	0.745556510280124	0.0461991584276202	0.264010974695796	0.0617042365105153	Alpha-Linolenoyl ethanolamide_[298_339.3_1.2]	Alpha-Linolenoyl ethanolamide	Alpha-Lea	[M + H3N + H]+	-1	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.959	0.712
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	468	Untreated	PS	0.253088230816934	0.253088230816934	0.254615245527274	0.214636746625348	0.211458832566435	0.214636746625348	0.149649336599226	0.140763817086982	0.40273756741616	0.36025731131507	0.0452814258591536	0.30929240055495	0.0243201974599615	NA_[468_355.33_1.8]	NA	(9Z,12Z)-N-(2-hydroxyethyl)nonadeca-9,12-dienamide	[M + H3N + H]+	102	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	1	0.999
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1580	PS	PET	0.247770646031279	0.247770646031279	0.0825902153437597	0	0	0	0.247770646031279	0	0	0	0.0443300271297691	0.353622427684719	0.00788880627026642	NA_[1580_421.38_5.9]	NA	N-(5Z,8Z,11Z,14Z-tetracosatetraenoyl)-ethanolamine	[M + H3N + H]+	70	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.993	0.868
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1557	PS	PET	0.247101259325567	0.247101259325567	0.0823670864418556	0	0	0	0.247101259325567	0	0	0	0.0442102634236973	0.397832691108416	0.00786749356787071	NA_[1557_421.38_5.9]	NA	N-(5Z,8Z,11Z,14Z-tetracosatetraenoyl)-ethanolamine	[M + H3N + H]+	70	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.995	0.921
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	1412	PET	Untreated	0.245862385220271	0.245862385220271	0.202466620120044	0.0622456079514863	0.330022439698205	0.148262667655055	0.193217366183994	0.201457362442014	0.0841600544779337	0	0.0439886095531609	0.441821300661577	0.0193390940521786	NA_[1412_424.41_5.2]	NA	NA	[M - H2O + H]+	20	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	0.999	0.984	0.734
filtered	class	N-acyl ethanolamines (endocannabinoids)	NPC class: N-acyl ethanolamines (endocannabinoids)	217	PET	PS	0.243091105882317	0.243091105882317	0.629082293127806	0.628753878735564	0.726275313388843	0.750845166665948	0.483184207506526	0.58457175255611	0.677787358488048	0.642599457172195	0.043492784522216	0.485314085183793	0.0600883327145263	N-hexadecanoylglycinate_[217_331.3_1]	N-hexadecanoylglycinate	Elmiric Acid	[M + H3N + H]+	631	Fatty acids	Fatty amides	N-acyl ethanolamines (endocannabinoids)	1	0.946	0.883
