data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2405	PS	Untreated	0.197883563051946	0.197883563051946	0.280703167657653	0.0965928975549537	0.289889534668589	0.213034551705286	0.375051765678158	0.147907675544058	0.177168202626212	0.0513832900429669	0.0577160008814307	0.0577160008814307	0.0260162456696406	NA_[2405_788.67_8]	NA	Bis(5-methyl-2-propan-2-ylcyclohexyl)-octadecyl-(3-triethoxysilylpropyl)azanium	[M + K]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	0.997	0.925
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2399	PS	Untreated	0.196686480101764	0.196686480101764	0.277156069125402	0.105681330973509	0.285991942918874	0.219610438395355	0.371081372279548	0.150597711385385	0.174394892177784	0.0571603047732566	0.0573668519195751	0.115082852801006	0.025687492034263	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2399_787.67_8]	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-tricosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1467	PET	Untreated	0.186079585586193	0.186079585586193	0.621425050523268	0.69892109131307	0.706981500844114	0.700458204587035	0.636391735467768	0.722618390817052	0.520901915257921	0.635872687132209	0.0542731764077328	0.169356029208739	0.0575951704235831	N-hexadecanoylsphingosine-1-phosphocholine_[1467_741.53_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + K]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1975	PS	PET	0.184973300049766	0.184973300049766	0.300205653458947	0.186992176695014	0.209262944281299	0.181767017083411	0.394236244331064	0.199453405733513	0.297117771764477	0.216625031699528	0.0539505100072961	0.223306539216035	0.0278237830266608	NA_[1975_824.63_6.9]	NA	[(2R,3R,4R,5R)-3,4-dihydroxy-5-(hydroxymethyl)pyrrolidin-2-yl]methyl-[(3S,6E,10E,14E,18E,22E,26E,30E)-3,7,11,15,19,23,27,31,35-nonamethylhexatriaconta-6,10,14,18,22,26,30,34-octaenoxy]phosphinic acid	[M - H2O + H]+	82	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.996
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2298	PET	Untreated	0.181002344620286	0.181002344620286	0.39096760929606	0.293265763400633	0.454062084232331	0.37341427460203	0.445781004043805	0.274551661708574	0.273059739612044	0.236495123920191	0.052792315443113	0.276098854659148	0.0362358196994897	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2298_799.67_7.7]	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxytetracosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1469	PET	Untreated	0.173500365919521	0.173500365919521	0.657642964791723	0.759543314113265	0.724022711296404	0.73084072436111	0.698383837701883	0.771807113575142	0.550522345376883	0.718416419428363	0.0506042397756447	0.326703094434792	0.0609519339510944	N-hexadecanoylsphingosine-1-phosphocholine_[1469_725.56_5.5]	N-hexadecanoylsphingosine-1-phosphocholine	NA	[M + Na]+	45	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	1530	Untreated	PS	0.172642875591969	0.172642875591969	0.304390106473462	0.234927382559651	0.310575930580508	0.249119783181545	0.214975756623955	0.0332332826774905	0.387618632215924	0.464770444247449	0.0503541385962567	0.377057233031049	0.0282116082105628	NA_[1530_729.59_5.8]	NA	[(E)-2-[[(Z)-heptadec-9-enoyl]amino]-3-hydroxynonadec-4-enyl] 2-(trimethylazaniumyl)ethyl phosphate	[M + H]+	-1	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.997
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2089	PET	Untreated	0.162065822359847	0.162065822359847	0.271678880328375	0.112947714671632	0.334308730742068	0.244393600718819	0.308485001860838	0.17290674520264	0.17224290838222	0.0641754449913485	0.047269166786305	0.424326399817354	0.0251798529844029	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2089_759.64_7.2]	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-henicosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2726	PET	Untreated	0.155450699462865	0.155450699462865	0.34566842703263	0.31129441313023	0.415659118493942	0.343092155296386	0.361137743572873	0.346239859587842	0.260208419031076	0.260294177737318	0.0453397572231027	0.469666157040457	0.0320373823814024	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine_[2726_815.7_8.9]	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	N-pentacosanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
filtered	class	Phosphosphingolipids	NPC class: Phosphosphingolipids	2431	PS	Untreated	0.149000033084817	0.149000033084817	0.53547148659198	0.485611859882494	0.558853585496521	0.494311695412629	0.598280453682118	0.485611859882494	0.449280420597301	0.440528745232336	0.0434583141127241	0.513124471153181	0.0496287870938986	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine_[2431_813.68_8.1]	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	N-(2-hydroxypentacosanoyl)-15-methylhexadecasphing-4-enine-1-phosphocholine	[M - H2O + H]+	5	Fatty acids	Spingolipids	Phosphosphingolipids	1	1	0.999
