data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	896	Untreated	PS	0.299706464270849	0.299706464270849	0.120602485652812	0	0.0621009926875868	0	0	0	0.299706464270849	0	0.0213884911746541	0.0213884911746541	0.00298094487108722	NA_[896_326.31_3.4]	NA	Icos-6-en-11-yne-6,7-diol	[M + H3N + H]+	420	Fatty acids	Fatty acyls	Fatty alcohols	0.979	0.728	0.549
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	2628	PET	Untreated	0.28823454450483	0.28823454450483	0.652759726290083	0.730663761957207	0.8310772876397	0.808099847033419	0.584359148095679	0.639061826233548	0.54284274313487	0.574184311136243	0.0205697999419882	0.0419582911166423	0.0161343337793084	NA_[2628_266.28_8.7]	NA	1,1':3',1''-Tercyclohexane	[M + H3N + H]+	19	Fatty acids	Fatty acyls	Hydrocarbons	0.621	0.842	0.741
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	94	Untreated	PET	0.278012533317481	0.278012533317481	0.532435133841817	0.496466093628818	0.362084452084253	0.352966442049707	0.595123964039463	0.666021774302473	0.640096985401733	0.755797981255751	0.0198403081821099	0.0617985992987522	0.01316025762505	NA_[94_232.23_0.6]	NA	(6R)-6-ethyl-1-methoxydecan-5-one	[M + H3N + H]+	308	Fatty acids	Fatty acyls	Fatty alcohols	0.967	0.898	0.709
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	2785	PET	PS	0.254739517906037	0.254739517906037	0.569238202581298	0.632200732557694	0.733036680142774	0.695593850783628	0.478297162236737	0.5390916718087	0.496380765364382	0.509980611882268	0.0181794341467558	0.0799780334455079	0.0140699231133307	NA_[2785_268.3_9]	NA	9-Octadecyne	[M + H3N + H]+	175	Fatty acids	Fatty acyls	Hydrocarbons	0.362	0.729	0.841
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1162	PET	Untreated	0.249288206681807	0.249288206681807	0.497819434226271	0.422860467321774	0.603664951953012	0.668583834690471	0.535416605454599	0.522923507266757	0.354376745271204	0.335734761540572	0.0177904024243557	0.0977684358698636	0.0123046575794165	NA_[1162_324.33_4.2]	NA	henicos-4-en-1-yn-3-ol	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Unsaturated fatty acids	0.993	0.834	0.443
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	421	PS	Untreated	0.241705506828966	0.241705506828966	0.582978132644927	0.574318313904451	0.652060230198291	0.661632256202601	0.669289837282729	0.612993775095294	0.427584330453762	0.331361269046699	0.0172492645837785	0.115017700453642	0.0144095344723385	NA_[421_253.25_1.7]	NA	16-Heptadecen-2-one	[M + H]+	79	Fatty acids	Fatty acyls	Fatty alcohols	0.997	0.989	0.944
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	438	PS	Untreated	0.239155441640382	0.239155441640382	0.600083170155768	0.592497972357933	0.655206799500445	0.675640468838842	0.692099076303621	0.690519741333303	0.452943634663239	0.413621919671906	0.0170672796976216	0.132084980151264	0.0148323215613582	farnesyl acetone_[438_263.24_1.7]	farnesyl acetone	Farnesylacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.989	0.98	0.538
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1030	PS	Untreated	0.238410639398287	0.238410639398287	0.341994491431225	0.308140917733784	0.345770896740203	0.299795212228053	0.45931160847588	0.426369121511227	0.220900969077592	0.234644394766507	0.0170141270363313	0.149099107187595	0.0084531153703317	farnesyl acetone_[1030_280.26_3.8]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.987	0.977	0.426
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	648	Untreated	PS	0.237773815912848	0.237773815912848	0.326861049623603	0.356097926167906	0.293667995731622	0.367368864572662	0.22457066861317	0.226829339635181	0.462344484526018	0.448071474704676	0.0169686802571593	0.166067787444754	0.00807906042864339	NA_[648_266.25_2.5]	NA	NA	[M + H3N + H]+	19	Fatty acids	Fatty acyls	Fatty alcohols	0.913	0.785	0.687
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	444	PS	Untreated	0.236730764665564	0.236730764665564	0.589516291806395	0.587021658118724	0.63782251959901	0.665167757025128	0.683728560242869	0.674979063984564	0.446997795577305	0.405602267831828	0.0168942431159668	0.182962030560721	0.0145711388697374	farnesyl acetone_[444_280.26_1.7]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.897	0.865	0.291
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	440	PS	Untreated	0.23479158439656	0.23479158439656	0.595831205019828	0.575965731242092	0.643149309509902	0.646836186495266	0.689567944973071	0.682989742857493	0.454776360576511	0.409167863298937	0.0167558539084782	0.199717884469199	0.0147272252725428	farnesyl acetone_[440_245.23_1.7]	farnesyl acetone	Farnesylacetone	[M - H2O + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.906	0.782	0.312
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	640	Untreated	PS	0.230372811981864	0.230372811981864	0.587867921042005	0.615282523654129	0.603762306759855	0.692461206599447	0.464734322192148	0.499139597846999	0.695107134174012	0.712217932325749	0.0164405091092778	0.216158393578477	0.0145303959086851	civetone_[640_251.24_2.5]	civetone	cycloheptadec-9-en-1-one	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.971	0.976	0.84
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	372	PS	Untreated	0.21704500136972	0.21704500136972	0.378707356111807	0.36991821670618	0.385081788808841	0.390494259180567	0.48404264044815	0.454651137057574	0.26699763907843	0.306043707874485	0.0154893726019328	0.23164776618041	0.00936055127499083	NA_[372_243.21_1.5]	NA	Farnesylideneacetone	[M - H2O + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.905	0.878	0.586
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	193	PS	Untreated	0.211870578824132	0.211870578824132	0.278781160701321	0.249700811180625	0.26851943860913	0.256914846948495	0.389847311159483	0.310984281545689	0.177976732335351	0.194586858726389	0.0151201009840533	0.246767867164463	0.0068906645385461	farnesyl acetone_[193_280.26_0.9]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.987	0.979	0.441
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1391	PS	Untreated	0.211520629971798	0.211520629971798	0.246109342671997	0.216293022641303	0.229036480944444	0.21762780127002	0.360406088521673	0.267157613277416	0.148885458549875	0.174006461555622	0.0150951269550215	0.261862994119485	0.00608311162737326	farnesyl acetone_[1391_280.26_5.2]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.937	0.916	0.349
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1300	PS	Untreated	0.210829955738912	0.210829955738912	0.21186900851734	0.167824538168589	0.180386994741542	0.167824538168589	0.333024993274695	0.220936105093718	0.122195037535783	0.135313557014358	0.0150458371281551	0.27690883124764	0.00523678953102385	farnesyl acetone_[1300_280.26_4.7]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.961	0.948	0.333
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1432	PS	Untreated	0.207742058943312	0.207742058943312	0.245926742967636	0.20919633925765	0.23007544767489	0.20919633925765	0.357723420085666	0.248796481381561	0.149981361142353	0.160755805827386	0.0148254699981981	0.291734301245838	0.00607859829044467	farnesyl acetone_[1432_280.26_5.4]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.979	0.969	0.466
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	371	PS	Untreated	0.207268634971701	0.207268634971701	0.39398717062738	0.387904120431045	0.403402316934708	0.408219617468654	0.492913914959567	0.452273879370288	0.285645279987866	0.331480458473656	0.0147916841922652	0.306525985438103	0.00973822412696244	NA_[371_261.22_1.4]	NA	Farnesylideneacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.893	0.849	0.453
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	14	PET	Untreated	0.204158092928242	0.204158092928242	0.121715512334936	0	0.244003625991888	0	0.0812973779492741	0	0.0398455330636451	0	0.0145697009887772	0.32109568642688	0.00300845567371704	pentaethylene glycol_[14_256.18_0.5]	pentaethylene glycol	NA	[M + H3N + H]+	133	Fatty acids	Fatty acyls	Fatty alcohols	0.974	0.895	0.954
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1321	PS	Untreated	0.201576389712457	0.201576389712457	0.21471800654711	0.175965609405982	0.186054571663293	0.175965609405982	0.329837918845247	0.208545738936392	0.12826152913279	0.143946404546592	0.0143854582612113	0.335481144688092	0.00530720852793432	farnesyl acetone_[1321_280.26_4.9]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.993	0.979	0.638
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	1246	PS	Untreated	0.201487436615961	0.201487436615961	0.379500706178195	0.3740017382228	0.385168698236389	0.356907677865894	0.477410428457079	0.509906615853668	0.275922991841118	0.315595523129414	0.0143791101414803	0.349860254829572	0.00938016059563274	farnesyl acetone_[1246_280.26_4.5]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.998	0.958	0.329
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	360	PS	Untreated	0.194761952762058	0.194761952762058	0.39061509563653	0.395526329642061	0.405008724754287	0.422104695668559	0.48079925745868	0.4450713408033	0.286037304696623	0.336311567448597	0.0138991473472027	0.363759402176775	0.0096548761794099	civetone_[360_251.24_1.4]	civetone	cycloheptadec-9-en-1-one	[M + H]+	79	Fatty acids	Fatty acyls	Fatty alcohols	0.955	0.977	0.787
filtered	superclass	Fatty acyls	NPC superclass: Fatty acyls	375	PS	Untreated	0.194232827237063	0.194232827237063	0.324855875313241	0.307320839616004	0.323407052299291	0.338274248908236	0.422696700438747	0.368672276087319	0.228463873201685	0.265016514385853	0.0138613864111842	0.377620788587959	0.00802949831519478	civetone_[375_233.23_1.5]	civetone	cycloheptadec-9-en-1-one	[M - H2O + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.99	0.907	0.658
