data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2422	PET	Untreated	0.349374968189288	0.349374968189288	0.303706528249378	0.215617557735981	0.496380534976561	0.420882302343402	0.267733482984301	0.224740949224061	0.147005566787273	0.120615919859891	0.0209239043782032	0.0209239043782032	0.0152122514190546	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2421	PET	Untreated	0.349045224235403	0.349045224235403	0.310420317006402	0.220318586969295	0.502685120180469	0.425410828012079	0.274935934893671	0.222469312178181	0.153639895945066	0.128847515245217	0.0209041561661429	0.0418280605443461	0.015548536065733	NA_[2421_412.38_8]	NA	4-hydroxy-3-(icos-11-en-1-yl)-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.695	0.866	0.665
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2378	PET	Untreated	0.345209290039019	0.345209290039019	0.181679066834148	0	0.392865934937158	0.231039356772502	0.104514620667147	0	0.0476566448981383	0	0.0206744238509109	0.062502484395257	0.00910006004214343	NA_[2378_438.43_8]	NA	19-Octacosynoic acid	[M + H3N + H]+	57	Fatty acids	Fatty esters	Wax monoesters	0.683	0.919	0.758
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1720	PS	PET	0.334969609443313	0.334969609443313	0.339508959598373	0.259328240431342	0.167631785211913	0.0945814174062378	0.502601394655226	0.56012427780532	0.34829369892798	0.382172061842797	0.0200611741416993	0.0825636585369564	0.0170055470397768	NA_[1720_496.51_6.3]	NA	dotriacontane-11,13-dione	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.992	0.989	0.94
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	501	PET	Untreated	0.334389817567898	0.334389817567898	0.272174689353694	0.0723167399581506	0.457363438931896	0.40619688069205	0.236187007765188	0.121169775630278	0.122973621363998	0.0390633931415508	0.020026450675896	0.102590109212852	0.0136328640290265	NA_[501_125.1_1.9]	NA	[(Z)-2-methoxyethenoxy]cyclopentane	[M - H2O + H]+	429	Fatty acids	Fatty esters	Lactones	0.994	0.709	0.849
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2381	PET	Untreated	0.327672795926976	0.327672795926976	0.305100877349062	0.212205685540089	0.482465070640522	0.403534734069618	0.278045286693116	0.215557348367862	0.154792274713547	0.140822660636867	0.0196241713733765	0.122214280586229	0.0152820924896189	NA_[2381_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.977	0.904
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1456	PS	PET	0.287556119036614	0.287556119036614	0.387637924570034	0.341870278977858	0.248568655564447	0.254470354812687	0.536124774601061	0.568618266271709	0.378220343544594	0.439971000174475	0.0172216022495049	0.139435882835734	0.0194162621465874	NA_[1456_468.48_5.5]	NA	Ethenyl octacosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.98	0.992	0.931
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1224	PET	Untreated	0.282543199615267	0.282543199615267	0.378699643825366	0.343394399026256	0.493181388590556	0.368552431936008	0.432279353910253	0.440322243328743	0.210638188975289	0.152166340026855	0.0169213808364726	0.156357263672206	0.0189685556888904	NA_[1224_396.38_4.5]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.925	0.947	0.848
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	924	PS	Untreated	0.257777880800353	0.257777880800353	0.187582376787512	0.114290494941152	0.182208167066525	0.182865938283223	0.319158422048182	0.176804843745122	0.0613805412478288	0.0758744903759387	0.0154381974090376	0.171795461081244	0.00939574889589585	NA_[924_412.38_3.5]	NA	(3S,4R,5R)-4-hydroxy-3-icos-1-en-9-yl-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.884	0.773	0.532
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	3398	PS	PET	0.25540508196441	0.25540508196441	0.217741993291736	0.0665000458538207	0.110820449869995	0.0665000458538207	0.366225531834406	0.237359915957944	0.176179998170807	0.106343875055757	0.015296091590154	0.187091552671398	0.0109064035124071	NA_[3398_722.7_11.3]	NA	44-Ethenoxy-44-oxotetratetracontanoic acid	[M + H3N + H]+	318	Fatty acids	Fatty esters	Diacylglycerols	0.873	0.853	0.252
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1817	PS	Untreated	0.253964753405645	0.253964753405645	0.150849634636463	0.110976897140447	0.0982745089827774	0.104736542643581	0.304119574166128	0.14445730511529	0.050154820760483	0.0333514753569207	0.0152098309825523	0.20230138365395	0.00755585525865986	NA_[1817_538.52_6.5]	NA	[(E)-hexadec-9-enoyl] octadecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.979	0.946	0.765
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	598	PS	PET	0.250224988660487	0.250224988660487	0.46024382081995	0.348175632385232	0.29935257301195	0.235119526982592	0.549577561672437	0.537141534948532	0.531801327775462	0.602969783455178	0.0149858582110335	0.217287241864984	0.0230529938119422	dodecanoic anhydride_[598_400.38_2.4]	dodecanoic anhydride	dodecanoyl dodecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.964	0.965	0.838
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1887	PS	Untreated	0.247125369036431	0.247125369036431	0.148074297177097	0.0820340668394785	0.092621720557959	0.0820340668394785	0.299363270004881	0.141908952998033	0.0522379009684501	0.0288824491706435	0.0148002234331366	0.23208746529812	0.00741684233902341	NA_[1887_536.5_6.7]	NA	hexadecanoyl (9Z,12Z)-octadeca-9,12-dienoate	[M + H3N + H]+	102	Fatty acids	Fatty esters	Wax monoesters	0.978	0.972	0.408
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1281	PS	PET	0.24331111859057	0.24331111859057	0.325883343607056	0.156538793353078	0.179569911955509	0.104566178598404	0.422881030546079	0.390161536185816	0.375199088319579	0.433809556604521	0.0145717897476401	0.24665925504576	0.0163230582655176	NA_[1281_470.46_4.7]	NA	2-Oxodecyl nonadecanoate	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Wax monoesters	0.983	0.97	0.854
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1574	PS	Untreated	0.236898468066494	0.236898468066494	0.115158353673144	0.050113801873407	0.0578280710191065	0.050113801873407	0.26227272903341	0.0884140622128156	0.0253742609669159	0.0109081860012381	0.0141877390897695	0.26084699413553	0.00576812701122391	NA_[1574_536.5_5.9]	NA	Reticulatamone	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.934	0.735	0.583
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	2086	PS	Untreated	0.234594126967838	0.234594126967838	0.0949218613448491	0	0.0501714570667097	0.0215053154817266	0.234594126967838	0.0441992266365566	0	0	0.0140497331729377	0.274896727308468	0.00475450833495687	NA_[2086_452.45_7.2]	NA	Undec-10-ynoic acid, octadecyl ester	[M + H3N + H]+	57	Fatty acids	Fatty esters	Wax monoesters	0.969	0.986	0.919
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1392	PS	Untreated	0.233945719349289	0.233945719349289	0.12562057466409	0.0464239971361139	0.105568863541822	0.101847009332582	0.252619289899868	0.116565178022992	0.0186735705505788	0	0.0140109003421859	0.288907627650654	0.00629216558567724	NA_[1392_483.45_5.2]	NA	Tetracosyl 5-oxopyrrolidine-2-carboxylate	[M + H3N + H]+	102	Fatty acids	Fatty esters	N-acyl amines	1	0.915	0.458
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1107	PS	PET	0.232673787598502	0.232673787598502	0.409219425039743	0.297601410239005	0.273538336939282	0.268105386576537	0.506212124537785	0.507474962800554	0.447907813642162	0.514299383576731	0.0139347249411061	0.30284235259176	0.0204972504711982	NA_[1107_500.47_4.1]	NA	[(2S)-2-dodecanoyloxypropyl] pentadecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.953	0.977	0.84
filtered	superclass	Fatty esters	NPC superclass: Fatty esters	1922	PS	Untreated	0.230791995724958	0.230791995724958	0.106642933129408	0.0473810201100001	0.0513499461084687	0.0254580913248593	0.249685424502356	0.0906670071932413	0.0188934287773983	0	0.0138220253008721	0.316664377892632	0.00534160105211139	NA_[1922_538.52_6.8]	NA	[(E)-hexadec-9-enoyl] octadecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Diacylglycerols	0.997	0.919	0.752
