data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Lignans	NPC superclass: Lignans	813	PET	PS	0.369266182235115	0.369266182235115	0.243662640127862	0.118224469815046	0.411564924324816	0.378452591707956	0.0422987420897003	0	0.27712425396907	0.324756695118373	0.119156989381846	0.119156989381846	0.0933277882335288	NA_[813_415.21_3.1]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.709	0.915	0.293
filtered	superclass	Lignans	NPC superclass: Lignans	1212	Untreated	PS	0.352633490596207	0.352633490596207	0.145955107732881	0.00448716456388996	0.0729785798476957	0.0254849064863072	0.00612662637736949	0	0.358760116973577	0.172259915945971	0.113789854354715	0.232946843736562	0.0559037995276921	NA_[1212_415.21_4.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.701	0.877	0.336
filtered	superclass	Lignans	NPC superclass: Lignans	1435	Untreated	PS	0.332786152040469	0.332786152040469	0.126754671602296	0	0.0474778627664192	0	0	0	0.332786152040469	0.284753289788384	0.107385398102509	0.340332241839071	0.0485496387246806	NA_[1435_415.21_5.3]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.78	0.936	0.355
filtered	superclass	Lignans	NPC superclass: Lignans	1006	Untreated	PS	0.324734210226666	0.324734210226666	0.239296892902757	0.158758328256463	0.243157806441054	0.229301771310808	0.0749993310202748	0.0318307407382823	0.399733541246941	0.34767414027247	0.104787150032775	0.445119391871846	0.0916556175130116	NA_[1006_415.21_3.7]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.783	0.89	0.415
filtered	superclass	Lignans	NPC superclass: Lignans	1471	Untreated	PET	0.310378001147713	0.310378001147713	0.103459333715904	0	0	0	0	0	0.310378001147713	0.0542005887099362	0.100154603823344	0.54527399569519	0.0396270465704267	NA_[1471_415.21_5.5]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.748	0.931	0.339
filtered	superclass	Lignans	NPC superclass: Lignans	1064	Untreated	PS	0.285484310303814	0.285484310303814	0.2607018404997	0.0897377657048597	0.282692503424601	0.170774651828447	0.106964353885343	0	0.392448664189156	0.277193947261611	0.092121760854602	0.637395756549792	0.0998541514180412	NA_[1064_415.21_3.9]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.846	0.942	0.435
filtered	superclass	Lignans	NPC superclass: Lignans	451	Untreated	PS	0.242013583581806	0.242013583581806	0.303391804156405	0.211947581948851	0.306095939083542	0.202081888573207	0.181032944901933	0.178245189596398	0.42304652848374	0.323315633704217	0.078094370393113	0.715490126942904	0.116205282989789	NA_[451_415.21_1.7]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.813	0.94	0.39
filtered	superclass	Lignans	NPC superclass: Lignans	970	Untreated	PS	0.227863716194006	0.227863716194006	0.302381432077826	0.246987210386648	0.34298793956431	0.367893328401483	0.168146320237581	0.0680160974781854	0.396010036431586	0.351681083107708	0.0735284077374556	0.78901853468036	0.115818289762853	NA_[970_415.21_3.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.756	0.923	0.346
filtered	superclass	Lignans	NPC superclass: Lignans	1554	Untreated	PET	0.201056276288695	0.201056276288695	0.0670187587628985	0	0	0	0	0	0.201056276288695	0	0.0648780249354971	0.853896559615857	0.0256695590354582	NA_[1554_415.21_5.8]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.794	0.943	0.424
filtered	superclass	Lignans	NPC superclass: Lignans	1510	Untreated	PET	0.200769000333907	0.200769000333907	0.0669230001113024	0	0	0	0	0	0.200769000333907	0.0213439920647654	0.0647853250362343	0.918681884652091	0.0256328815080662	NA_[1510_415.21_5.6]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.735	0.923	0.308
filtered	superclass	Lignans	NPC superclass: Lignans	885	Untreated	PS	0.148193695482956	0.148193695482956	0.264601425235728	0.130330669308946	0.238423414068443	0.241438091114909	0.203593583077893	0.060031930459811	0.351787278560849	0.448658346480293	0.0478200156110584	0.96650190026315	0.101347772345122	NA_[885_415.21_3.4]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.712	0.902	0.439
filtered	superclass	Lignans	NPC superclass: Lignans	232	PET	PS	0.103810237789059	0.103810237789059	0.486679351146246	0.525286708180493	0.553323358191607	0.619143745657598	0.449513120402548	0.525286708180493	0.457201574844583	0.454855256503412	0.0334980997368503	1	0.186408172371331	NA_[232_415.21_1]	NA	(1R)-1-[(2R,4S,4aR,6R,8aR)-2,6-bis(3,4-dimethylphenyl)-4,4a,8,8a-tetrahydro-[1,3]dioxino[5,4-d][1,3]dioxin-4-yl]ethane-1,2-diol	[M + H]+	186	Shikimates and Phenylpropanoids	Lignans	Neolignans	0.545	0.806	0.234
