data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Small peptides	NPC superclass: Small peptides	754	Untreated	PS	0.425335326897087	0.425335326897087	0.350253387911079	0.199895403111007	0.385274525080464	0.298009770213106	0.120075155877843	0.120327421376726	0.545410482774931	0.681960022026141	0.114810105028386	0.114810105028386	0.0597680801146599	NA_[754_415.21_2.9]	NA	NA	[M + K]+	186	Amino acids and Peptides	Small peptides	Dipeptides	0.822	0.749	0.325
filtered	superclass	Small peptides	NPC superclass: Small peptides	494	PET	Untreated	0.328181116771826	0.328181116771826	0.282109814476495	0.072498415486898	0.464445929874125	0.407672655682502	0.24561870045306	0.119116637979159	0.136264813102299	0.051233503450568	0.0885854197904964	0.203395524818883	0.0481398969281165	NA_[494_152.11_1.9]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.961	0.971	0.976
filtered	superclass	Small peptides	NPC superclass: Small peptides	211	PS	Untreated	0.304140644762551	0.304140644762551	0.332941711830878	0.279091710540754	0.286929153935489	0.288092099705669	0.508018313159848	0.427614412733806	0.203877668397297	0.234326512082777	0.082096212471527	0.28549173729041	0.0568139740914423	NA_[211_293.23_1]	NA	3-[[N-amino-N'-(3-methoxypropyl)carbamimidoyl]amino]-N-(2-methoxyethyl)propanamide	[M + H3N + H]+	90	Amino acids and Peptides	Small peptides	Aminoacids	0.954	0.98	0.733
filtered	superclass	Small peptides	NPC superclass: Small peptides	78	PET	Untreated	0.296282799789687	0.296282799789687	0.460773805990486	0.419645095699903	0.598191933664779	0.506605148962672	0.482220350431587	0.520419385058301	0.301909133875093	0.241096064270556	0.0799751565667358	0.365466893857146	0.078627549944407	NA_[78_217.19_0.6]	NA	2-[1-(Aminomethyl)-3,3-diethylcyclobutyl]acetic acid	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.971	0.978	0.964
filtered	superclass	Small peptides	NPC superclass: Small peptides	10	PS	PET	0.286370172042509	0.286370172042509	0.134480367445802	0	0.0244232492861639	0.0164049238061015	0.310793421328673	0.0513494561359656	0.0682244317225708	0	0.0772994563349605	0.442766350192106	0.0229480531888251	NA_[10_216.12_0.5]	NA	(1S,2R)-2-[(S)-amino(carboxy)methyl]-1-butylcyclopropane-1-carboxylic acid	[M + H]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.97	0.979	0.964
filtered	superclass	Small peptides	NPC superclass: Small peptides	535	PET	Untreated	0.281688209106748	0.281688209106748	0.257402734715796	0.0143192386055358	0.413802957774888	0.360917155661173	0.22629049770436	0.0409050025085519	0.13211474866814	0	0.07603566134216	0.518802011534266	0.0439238214424695	NA_[535_210.11_2.1]	NA	Gabapentinalcohol	[M + Na]+	638	Amino acids and Peptides	Small peptides	Aminoacids	0.952	0.962	0.916
filtered	superclass	Small peptides	NPC superclass: Small peptides	1305	PS	Untreated	0.233955559058643	0.233955559058643	0.231659984766633	0.154747365731277	0.204641206787768	0.164113717801339	0.362147153285387	0.280967407665053	0.128191594226745	0.105045423375053	0.0631512611554053	0.581953272689671	0.0395310167061344	NA_[1305_446.36_4.8]	NA	2-[[2-[[(2S)-2-hydroxyhexadecanoyl]amino]-3-methylbutanoyl]amino]acetic acid	[M + H3N + H]+	363	Amino acids and Peptides	Small peptides	Dipeptides	0.728	0.796	0.27
filtered	superclass	Small peptides	NPC superclass: Small peptides	212	Untreated	PET	0.212058602013926	0.212058602013926	0.405063017405555	0.355987676958592	0.321282566719937	0.355987676958592	0.360565316762865	0.271588419870232	0.533341168733863	0.477323177880346	0.0572406495058955	0.639193922195567	0.0691209270527524	NA_[212_277.24_1]	NA	NA	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Dipeptides	0.804	0.713	0.446
filtered	superclass	Small peptides	NPC superclass: Small peptides	55	PS	Untreated	0.204782885968792	0.204782885968792	0.243541600616226	0.19040453361245	0.195855551755958	0.19040453361245	0.369776068030756	0.172282185799178	0.164993182061964	0.135194225236578	0.0552767267595946	0.694470648955162	0.0415585241978545	NA_[55_152.11_0.6]	NA	8-Aminobicyclo[4.2.0]octane-7-carboxylic acid	[M - H2O + H]+	496	Amino acids and Peptides	Small peptides	Aminoacids	0.873	0.857	0.868
filtered	superclass	Small peptides	NPC superclass: Small peptides	441	PET	Untreated	0.202293082373063	0.202293082373063	0.596282441055707	0.56235410038387	0.673904882167823	0.669323210261694	0.643330641204539	0.598615788173439	0.471611799794759	0.383846047415074	0.0546046579370703	0.749075306892232	0.101751069191743	NA_[441_321.26_1.7]	NA	(NE)-N-[1-amino-4-[2-[[(3E)-3-hydroxyimino-2-methylbutan-2-yl]amino]oxyethylamino]-4-methylpentan-3-ylidene]hydroxylamine	[M + H3N + H]+	-1	Amino acids and Peptides	Small peptides	Dipeptides	0.963	0.98	0.75
filtered	superclass	Small peptides	NPC superclass: Small peptides	28	PS	PET	0.174456009218981	0.174456009218981	0.267938194240474	0.169299075120104	0.187308525669063	0.169299075120104	0.361764534888044	0.167812020784241	0.254741522164313	0.121454964884298	0.0470906399601992	0.796165946852431	0.0457216175827756	NA_[28_209.13_0.5]	NA	Dimethyl pimelimidate	[M + Na]+	16	Amino acids and Peptides	Small peptides	Aminoacids	0.592	0.719	0.642
filtered	superclass	Small peptides	NPC superclass: Small peptides	2425	PS	Untreated	0.15719354841388	0.15719354841388	0.511200666502638	0.477719059257625	0.524101873718756	0.451128006312429	0.583346837101519	0.601209693154717	0.426153288687639	0.456231807967975	0.0424310106918277	0.838596957544259	0.0872325106472746	NA_[2425_184.07_8.1]	NA	(2R)-2-(aminomethyl)-4-methylpentanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.833	0.824	0.833
filtered	superclass	Small peptides	NPC superclass: Small peptides	112	PET	Untreated	0.144179617285869	0.144179617285869	0.449872513077372	0.410306123126669	0.542137461944427	0.597701890944757	0.409522232629133	0.37354557258857	0.397957844658558	0.282573999458994	0.0389181804490657	0.877515137993324	0.0767673271152426	gabapentin_[112_154.12_0.7]	gabapentin	2-[1-(aminomethyl)cyclohexyl]acetic acid	[M - H2O + H]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.998	0.999	0.999
filtered	superclass	Small peptides	NPC superclass: Small peptides	497	Untreated	PS	0.105982128443169	0.105982128443169	0.411035795852022	0.410333261853914	0.405105941799706	0.409134978672875	0.361009658656595	0.45200061231605	0.466991787099764	0.410333261853914	0.0286075915359747	0.906122729529299	0.0701401363252867	NA_[497_280.16_1.9]	NA	5-carbamimidamido-2-[(2-carboxyethyl)amino]-3-hydroxypentanoic acid	[M + H3N + H]+	3	Amino acids and Peptides	Small peptides	Tripeptides	0.784	0.898	0.296
filtered	superclass	Small peptides	NPC superclass: Small peptides	31	Untreated	PET	0.0958832190316058	0.0958832190316058	0.201078123732365	0.120345743733249	0.165963581265231	0.122877793255487	0.175423989635027	0.148186905046627	0.261846800296836	0.104912570779277	0.0258816085834836	0.932004338112783	0.0343124544211191	NA_[31_261.13_0.5]	NA	Imidazole-5-methanol, 2-nitro-alpha,alpha,1-trimethyl-, 5-carboxhydrazide	[M + H3N + H]+	814	Amino acids and Peptides	Small peptides	Aminoacids	0.836	0.913	0.534
filtered	superclass	Small peptides	NPC superclass: Small peptides	1532	PS	PET	0.0947578877251712	0.0947578877251712	0.111618833661862	0	0.0719087789414954	0	0.166666666666667	0	0.0962810553774246	0	0.0255778496495008	0.957582187762283	0.0190469061053044	4-(trimethylammonio)butanoate_[1532_184.07_5.8]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Amino acids and Peptides	Small peptides	Aminoacids	0.825	0.805	0.813
filtered	superclass	Small peptides	NPC superclass: Small peptides	45	PET	PS	0.0810803825844466	0.0810803825844466	0.220979940593794	0.0946978375544551	0.262793275396194	0.158488962940411	0.181712892811747	0.138755411204807	0.218433653573441	0	0.0218859019027931	0.979468089665076	0.0377085482938875	NA_[45_180.1_0.6]	NA	2-[1-(Aminomethyl)cyclopentyl]acetate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Aminoacids	0.953	0.969	0.975
filtered	superclass	Small peptides	NPC superclass: Small peptides	803	PS	Untreated	0.0760642697083783	0.0760642697083783	0.391975177865202	0.373646854319017	0.374150005336328	0.383456936561044	0.438919898983829	0.373646854319017	0.362855629275451	0.441243553333433	0.0205319103349236	1	0.0668875866507055	NA_[803_582.35_3.1]	NA	tert-butyl N-[(4S)-5-[[(2S)-2,5-bis[(2-methylpropan-2-yl)oxycarbonylamino]pentyl]amino]-4-formamido-5-oxopentyl]carbamate	[M + Na]+	-1	Amino acids and Peptides	Small peptides	Tripeptides	0.84	0.757	0.421
