data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1553	Untreated	PS	0.465292878930472	0.465292878930472	0.224769789092685	0.0895757419255597	0.149299327063876	0.155164526384382	0.0298585806418532	0	0.495151459572325	0.56741905233961	0.0987919484611955	0.0987919484611955	0.0676543971107232	NA_[1553_543.34_5.8]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.816	0.784	0.662
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2504	Untreated	PS	0.3605046181948	0.3605046181948	0.186990565563597	0.0170968814430929	0.13913806396902	0.0671182149660929	0.0306645072634862	0	0.391169125458287	0.368890537599343	0.0765430877484922	0.175335036209688	0.0562830709129764	NA_[2504_543.34_8.4]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.795	0.9	0.676
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2451	Untreated	PS	0.357065388020164	0.357065388020164	0.181848378583677	0.0392066539938664	0.148065958639231	0.057680526505392	0.0202068945458178	0	0.377272282565981	0.326267533153466	0.0758128632693643	0.251147899479052	0.054735302588054	NA_[2451_543.34_8.1]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	14	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.898	0.972	0.859
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2314	Untreated	PS	0.35616356991356	0.35616356991356	0.152710884959068	0.0243849526903596	0.0822985874294412	0.0406062416627283	0.009835248767102	0	0.365998818680662	0.233515342144917	0.0756213873797833	0.326769286858835	0.0459650867487824	NA_[2314_543.34_7.8]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.789	0.886	0.561
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1091	PET	PS	0.340028543329314	0.340028543329314	0.392360477707795	0.381708069287039	0.528837385899654	0.575149579408335	0.18880884257034	0.166358982504076	0.459435204653391	0.528358526218617	0.0721955650925502	0.398964851951386	0.118098218077031	NA_[1091_543.34_4]	NA	NA	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.975	0.933	0.812
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2464	Untreated	PS	0.338683784780048	0.338683784780048	0.163479606526875	0.0139591752804685	0.111748370594295	0.0384823830758967	0.0200033321031414	0	0.35868711688319	0.273590112485692	0.071910043170106	0.470874895121491	0.0492064092070368	NA_[2464_543.34_8.2]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.917	0.983	0.873
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	3444	Untreated	PS	0.302987097092053	0.302987097092053	0.117547664714658	0	0.0496558970519206	0.0390667767439434	0	0	0.302987097092053	0	0.0643308484521168	0.535205743573608	0.0353811623000825	NA_[3444_543.34_11.4]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.488	0.745	0.423
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1180	PET	PS	0.294037668701676	0.294037668701676	0.378873545222572	0.330074559218868	0.490887474015374	0.479359288862319	0.196849805313698	0.16866892435829	0.448883356338644	0.46902367056699	0.0624306872669048	0.597636430840513	0.11403872996769	NA_[1180_543.34_4.4]	NA	NA	[M + H]+	579	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.938	0.915	0.758
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1296	Untreated	PS	0.289599218739356	0.289599218739356	0.379813877084795	0.322223321535167	0.416890649364456	0.422767985114469	0.216475881575287	0.0344825181346757	0.506075100314643	0.509496600971021	0.0614883063713857	0.659124737211899	0.114321764380276	NA_[1296_543.34_4.7]	NA	NA	[M + H]+	14	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.986	0.953	0.868
filtered	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1606	Untreated	PS	0.287189412362887	0.287189412362887	0.130032918138777	0.0425564296659021	0.0721314605916307	0.0588943196319674	0.0153889407309059	0	0.302578353093793	0.188778092631932	0.0609766512867586	0.720101388498657	0.0391391508473558	NA_[1606_543.34_6]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.95	0.907	0.767
