sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	1.49777373268085	0.397553094126637	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_110626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	1.53910807347264	0.404681186385309	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_110626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	2	0.477121254719662	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_180626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	1.7170320186659	0.434094756359732	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_180626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	0.88287916970808	0.274822450864905	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_180626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	0.176518994140219	0.0705989429728965	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_210626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	1.20760135718078	0.34392065238722	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_210626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	0.392884192176766	0.143915009611798	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
A549_210626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	0.725071093479449	0.236806997884421	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
MDM_160526_PET100	PET	filtered	class	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	2	1.51724049687117	0.400924709976056	kruskal_wallis	0.0621765240221163	0.994169112778783	ns	0.153964013316735	0.153761703326041
