sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.209619231065498	0.0826486828191972	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_110626_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.169283755166441	0.0679199160797244	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_110626_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.244125547189217	0.0948642080881739	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_180626_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.365547184679076	0.135306711207141	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_180626_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.153083312752465	0.0618606871398967	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_180626_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.105661362834254	0.0436221335040635	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_210626_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.39735917496226	0.145308050820706	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_210626_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0	0	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
A549_210626_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.262773571919384	0.101325484140609	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_160526_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.794490438319734	0.253941148600693	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_160526_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.533090008293986	0.185567653196113	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_160526_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.975260983745444	0.295624485437081	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_A_190626_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.538940155449555	0.187221731811101	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_A_190626_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.553291212606586	0.191252885330496	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_A_190626_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.572519283148234	0.196595979722092	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_B_190626_PET100	PET	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.782262623370344	0.250971699407285	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_B_190626_PS100	PS	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	0.195525808181471	0.07755895580087	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
MDM_B_190626_untreated	Untreated	filtered	class	Cholestane steroids	NPC class: Cholestane steroids	Cholestane steroids	Terpenoids	Steroids	Cholestane steroids	1	1	0.301029995663981	kruskal_wallis	0.172004624117042	0.994169112778783	ns	0.0785396545198374	0.0935254553756064
