sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	1.54085232013196	0.404979423643198	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_110626_PS100	PS	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0.159146439160032	0.0641383054214928	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_110626_untreated	Untreated	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	1.77734414151783	0.443629696639731	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_180626_PET100	PET	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0.76887423262002	0.247696955566121	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_180626_PS100	PS	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0.926778826715927	0.284831865226494	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_180626_untreated	Untreated	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	1.72896690054238	0.435998268173021	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_210626_PET100	PET	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0.234136620489853	0.0913632393087209	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_210626_PS100	PS	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0.725095884218348	0.236813239020677	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
A549_210626_untreated	Untreated	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	3.10427506527333	0.613236459152309	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
MDM_160526_PET100	PET	filtered	class	Hydroxy fatty acids	NPC class: Hydroxy fatty acids	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	5	0	0	kruskal_wallis	0.218515549947115	0.994169112778783	ns	0.214256411416912	0.335524553301901
