sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.08961672077557	0.320066634763198	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_110626_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.31084464173506	0.36377074880876	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_110626_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.279860157796157	0.107162519635928	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_180626_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.247689986932445	0.0961066897616534	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_180626_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.257946318183609	0.0996621083476627	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_180626_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.080776610114645	0.0337359372278336	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_210626_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.61787399966434	0.41794873978259	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_210626_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.512862303026866	0.179799401415787	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
A549_210626_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.347024686903285	0.129375555105039	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_160526_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.425436824948592	0.153947974234603	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_160526_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.08145268160864	0.318366542366757	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_160526_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.01450643510342	0.304168659029159	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_A_190626_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	1.4443493783003	0.388163281040061	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_A_190626_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.715738500616276	0.234451096803197	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_A_190626_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.307895264752096	0.116572967412242	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_B_190626_PET100	PET	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.188157866350144	0.0748741476568322	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_B_190626_PS100	PS	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0.136956776387571	0.0557439544562625	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
MDM_B_190626_untreated	Untreated	filtered	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	0	0	kruskal_wallis	0.262060132931539	0.994169112778783	ns	0.126681971471456	0.125139560974816
