sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0.240263116898277	0.0935138287873749	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_110626_PS100	PS	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0	0	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_110626_untreated	Untreated	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0.290848772691307	0.11087536617604	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_180626_PET100	PET	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0	0	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_180626_PS100	PS	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0.252706583498215	0.0978493598288873	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_180626_untreated	Untreated	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	1.36355134084741	0.373565040446658	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_210626_PET100	PET	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0.131511625030473	0.0536590202091315	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_210626_PS100	PS	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0	0	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
A549_210626_untreated	Untreated	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0.856447311430219	0.268682627852601	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
MDM_160526_PET100	PET	filtered	superclass	Fatty acyl glycosides	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	Fatty acids	Fatty acyl glycosides	Fatty acyl glycosides of mono- and disaccharides	2	0	0	kruskal_wallis	0.0586342280961415	0.994169112778783	ns	0.164157772897115	0.209049492578051
