sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	18.7185860620377	1.29487577026694	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_110626_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	20.2336420460046	1.32702449180258	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_110626_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	21.980721349237	1.36136365677508	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_180626_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	12.8921934897195	1.1427708235109	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_180626_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	24.4477176144053	1.40564883689206	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_180626_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	19.6283560059561	1.31446461789117	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_210626_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	27.0487440601782	1.44791341960481	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_210626_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	36.234866494558	1.57094980102132	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
A549_210626_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	18.0937606965862	1.28089147522043	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_160526_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	11.6518772911642	1.10215497110104	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_160526_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	50.8574350876187	1.71481103239397	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_160526_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	7.11508064395847	0.909292840003549	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_A_190626_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	17.4631704422012	1.2663062788853	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_A_190626_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	11.3658116828205	1.0922226284046	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_A_190626_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	10.1161423330483	1.04595409892413	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_B_190626_PET100	PET	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	16.4015356531847	1.24058757565478	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_B_190626_PS100	PS	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	21.4051971076653	1.35034876893172	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
MDM_B_190626_untreated	Untreated	filtered	superclass	Fatty esters	NPC superclass: Fatty esters	Fatty esters	Fatty acids | Terpenoids	Fatty esters	Ceramides | Cholane steroids | Diacylglycerols | Fatty acid estolides | Fatty acyl carnitines | Lactones | N-acyl amines | Wax monoesters	85	13.7079779947011	1.16755297142887	kruskal_wallis	0.134546158463009	0.994169112778783	ns	0.230247649867168	0.153776579587235
