sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	1.49777373268085	110.339085532251	0.013574280822212	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_110626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	1.53910807347264	85.4931385437209	0.0180027087517152	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_110626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	2	126.260107581993	0.0158403159818409	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_180626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	1.7170320186659	93.8618721096422	0.0182931789029329	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_180626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	0.88287916970808	96.9462460483945	0.00910689382719736	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_180626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	0.176518994140219	156.077161699604	0.00113097260494754	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_210626_PET100	PET	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	1.20760135718078	96.4045521708847	0.0125263935155283	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_210626_PS100	PS	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	0.392884192176766	99.5929881450364	0.00394489812480184	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
A549_210626_untreated	Untreated	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	0.725071093479449	80.8441384000071	0.00896875281040023	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
MDM_160526_PET100	PET	filtered	class	Carotenoids (C40, β-β)	Carotenoids (C40, β-β)	pathway	Terpenoids	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	NPC class: Carotenoids (C40, β-β) / NPC pathway: Terpenoids	Carotenoids (C40, β-β)	2	324	1.51724049687117	78.7697923743917	0.019261704914236	kruskal_wallis	0.150357897708377	0.897742354925123	ns	0.00640966925086201	0.00508037007912602
