sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	110.339085532251	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_110626_PS100	PS	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	85.4931385437209	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_110626_untreated	Untreated	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	126.260107581993	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_180626_PET100	PET	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	93.8618721096422	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_180626_PS100	PS	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	96.9462460483945	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_180626_untreated	Untreated	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0.80088071517292	156.077161699604	0.00513131265619981	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_210626_PET100	PET	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	96.4045521708847	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_210626_PS100	PS	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	99.5929881450364	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
A549_210626_untreated	Untreated	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	80.8441384000071	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
MDM_160526_PET100	PET	filtered	class	Cholane steroids	Cholane steroids	pathway	Terpenoids	Terpenoids	Steroids	Cholane steroids	NPC class: Cholane steroids / NPC pathway: Terpenoids	Cholane steroids	1	324	0	78.7697923743917	0	kruskal_wallis	0.325546689351153	0.897742354925123	ns	0.00272902683803032	0
