sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	15.4908809987342	516.188294856391	0.030010136132676	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_110626_PS100	PS	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	16.5716164830083	569.093361566683	0.0291193283952347	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_110626_untreated	Untreated	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	22.1555724824103	609.970445468234	0.0363223704476418	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_180626_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	15.6146139679168	497.149431007957	0.0314082909363057	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_180626_PS100	PS	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	16.4914427709312	551.098167107597	0.0299246917431888	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_180626_untreated	Untreated	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	19.1736136679451	536.20362205904	0.0357580830847763	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_210626_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	19.7614895534913	631.061569847103	0.0313146775175665	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_210626_PS100	PS	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	14.6970203938172	624.275479123744	0.0235425239101918	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
A549_210626_untreated	Untreated	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	11.677734827095	488.370699334193	0.023911620502654	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_160526_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	17.0901648350436	438.670186419595	0.0389590297315	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_160526_PS100	PS	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	10.9852956896481	557.050713450689	0.0197204588817397	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_160526_untreated	Untreated	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	14.3714627644737	338.873454031587	0.0424095266049789	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_A_190626_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	8.86960164083892	416.617438402668	0.0212895592533174	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_A_190626_PS100	PS	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	7.73140379958416	322.757986631405	0.0239541827617532	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_A_190626_untreated	Untreated	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	10.3119727649955	355.206853374674	0.0290308947224011	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
MDM_B_190626_PET100	PET	filtered	class	Fatty alcohols	Fatty alcohols	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	NPC class: Fatty alcohols / NPC pathway: Fatty acids	Fatty alcohols	38	1417	17.5678184238472	385.195577917606	0.0456075288268366	kruskal_wallis	0.359373941485865	0.897742354925123	ns	0.00580089103703712	0.0095034711877151
