sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	1.54085232013196	516.188294856391	0.0029850586219911	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_110626_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.159146439160032	569.093361566683	0.000279649087316553	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_110626_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	1.77734414151783	609.970445468234	0.00291382009525639	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_180626_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.76887423262002	497.149431007957	0.00154656564940877	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_180626_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.926778826715927	551.098167107597	0.00168169462725682	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_180626_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	1.72896690054238	536.20362205904	0.00322445956986096	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_210626_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.234136620489853	631.061569847103	0.000371020248541803	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_210626_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.725095884218348	624.275479123744	0.00116149986418835	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
A549_210626_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	3.10427506527333	488.370699334193	0.00635639089221663	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_160526_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0	438.670186419595	0	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_160526_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0	557.050713450689	0	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_160526_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0	338.873454031587	0	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_A_190626_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	5	416.617438402668	0.0120014179415299	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_A_190626_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.0124371899553289	322.757986631405	3.85341044078713e-05	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_A_190626_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	1.20204651270459	355.206853374674	0.00338407466321227	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_B_190626_PET100	PET	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.520931979407506	385.195577917606	0.00135238307309679	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_B_190626_PS100	PS	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.10570008826479	451.241632364736	0.000234242766366365	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
MDM_B_190626_untreated	Untreated	filtered	class	Hydroxy fatty acids	Hydroxy fatty acids	pathway	Fatty acids	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	NPC class: Hydroxy fatty acids / NPC pathway: Fatty acids	Hydroxy fatty acids	5	1417	0.215168211911562	268.796080159575	0.000800488652155284	kruskal_wallis	0.18108146064406	0.897742354925123	ns	0.00247680418083873	0.00281219390571722
