sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	2.29919120555056	22.2923959467374	0.103137913530872	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_110626_PS100	PS	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0.504770068478795	18.7293101114306	0.0269508094786007	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_110626_untreated	Untreated	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	3.19604542678389	30.4059743569397	0.105112416042489	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_180626_PET100	PET	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	2.04412040291054	25.3698152266756	0.0805729322285803	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_180626_PS100	PS	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	2.25075093356328	23.8580413786	0.0943393004415751	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_180626_untreated	Untreated	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	7.67134015119242	40.1287133506099	0.191168355789703	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_210626_PET100	PET	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0.444365873585027	22.628669302365	0.0196372958412797	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_210626_PS100	PS	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0.861290284831807	21.3440452967986	0.040352720061037	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
A549_210626_untreated	Untreated	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	1.54683955969984	20.9924005152567	0.073685692047255	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
MDM_160526_PET100	PET	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0	15.9782522402472	0	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
MDM_160526_PS100	PS	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0	22.0032827710845	0	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
MDM_160526_untreated	Untreated	filtered	class	Isoquinoline alkaloids	Isoquinoline alkaloids	pathway	Alkaloids	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	NPC class: Isoquinoline alkaloids / NPC pathway: Alkaloids	Isoquinoline alkaloids	8	90	0	23.6079694977104	0	kruskal_wallis	0.218515549947115	0.897742354925123	ns	0.0611131035333306	0.057835573702387
