sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	0.778769902010934	42.3640740391033	0.0183827905996979	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_110626_PS100	PS	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	2.24853803847509	45.9840337752953	0.0488982338840206	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_110626_untreated	Untreated	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	1.53869672265245	54.205006985714	0.028386616075116	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_180626_PET100	PET	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	0.858647573387392	40.1239376860753	0.0213998830350437	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_180626_PS100	PS	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	1.15928233750236	45.3985938359591	0.0255356441587431	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_180626_untreated	Untreated	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	2.7094613888176	59.4018739810898	0.0456123890919693	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_210626_PET100	PET	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	1.193280310228	47.768419387574	0.0249805274180458	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_210626_PS100	PS	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	2.31160849893091	44.2897673395303	0.052192834548212	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
A549_210626_untreated	Untreated	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	1.27523637611644	41.0561093346421	0.0310608188837909	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
MDM_160526_PET100	PET	filtered	class	Lipopeptides	Lipopeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Oligopeptides	Lipopeptides	NPC class: Lipopeptides / NPC pathway: Amino acids and Peptides	Lipopeptides	7	139	2.4102489745311	38.6468998131513	0.0623659073867267	kruskal_wallis	0.202606171107112	0.897742354925123	ns	0.0195010359768008	0.0205628721686325
