sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	0.904167656142693	516.188294856391	0.00175162371009254	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_110626_PS100	PS	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.13159186121126	569.093361566683	0.00198841163442155	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_110626_untreated	Untreated	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.29817299839434	609.970445468234	0.00212825557047739	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_180626_PET100	PET	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.21269384316502	497.149431007957	0.00243929444051926	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_180626_PS100	PS	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.05032580675928	551.098167107597	0.00190587788065391	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_180626_untreated	Untreated	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	0.483305619711507	536.20362205904	0.000901347174522241	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_210626_PET100	PET	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.07089124879031	631.061569847103	0.00169696793460227	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_210626_PS100	PS	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	0.579410702835752	624.275479123744	0.00092813304736722	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
A549_210626_untreated	Untreated	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	1.22506209607145	488.370699334193	0.00250846764095717	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
MDM_160526_PET100	PET	filtered	class	Monoacylglycerols	Monoacylglycerols	pathway	Fatty acids	Fatty acids	Glycerolipids	Monoacylglycerols	NPC class: Monoacylglycerols / NPC pathway: Fatty acids	Monoacylglycerols	3	1417	0.964570279259079	438.670186419595	0.00219885077472863	kruskal_wallis	0.250082375778354	0.897742354925123	ns	0.000752307012094978	0.000828162436585284
