sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0.102004413949589	516.188294856391	0.00019761086209436	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_110626_PS100	PS	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	569.093361566683	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_110626_untreated	Untreated	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0.970851419763677	609.970445468234	0.0015916368194174	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_180626_PET100	PET	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	497.149431007957	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_180626_PS100	PS	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	551.098167107597	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_180626_untreated	Untreated	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	1	536.20362205904	0.00186496315739153	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_210626_PET100	PET	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	631.061569847103	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_210626_PS100	PS	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	624.275479123744	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
A549_210626_untreated	Untreated	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	488.370699334193	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
MDM_160526_PET100	PET	filtered	superclass	Eicosanoids	Leukotrienes	pathway	Fatty acids	Fatty acids	Eicosanoids	Leukotrienes	NPC superclass: Eicosanoids / NPC pathway: Fatty acids	Eicosanoids	1	1417	0	438.670186419595	0	kruskal_wallis	0.121548974327878	0.897742354925123	ns	0.00101938967727409	0.000795818409708702
