sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	23627343.6	0.0858220557642375	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_110626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	6150073.1	35571701.7	0.17289229376395	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_110626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	21284813.9	0.0952673210828496	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_180626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	39971751.9	0.0507295053034691	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_180626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	36833470.7	0.0550517548703332	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_180626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	38122537.4	0.0531902475096004	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_210626_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	7164814.1	41891195.5	0.171033889448202	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_210626_PS100	PS	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	20744532.2	0.0977485141843787	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
A549_210626_untreated	Untreated	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	35199892.6	0.0576066303111391	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
MDM_160526_PET100	PET	raw	superclass	Aminosugars and aminoglycosides	Aminoglycosides	pathway	Carbohydrates	Carbohydrates	Aminosugars and aminoglycosides	Aminoglycosides	NPC superclass: Aminosugars and aminoglycosides / NPC pathway: Carbohydrates	Aminosugars and aminoglycosides	2	10	2027747.2	28056539.6	0.0722736028358964	kruskal_wallis	0.65252842024987	0.948189582046781	ns	0.0061739074300393	0.0258063751980466
