data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	551	Untreated	PET	54528295	54528295	580986923.888889	564431150	562288838.333333	591560030	563854800	551520880	616817133.333333	600685950	0.390668857987629	0.390668857987629	0.810610162276305	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	496	PET	Untreated	49372946.25	49372946.25	51036993.0833333	20739984	77912726.3333333	69258852	46658472.8333333	27639464	28539780.0833333	15987000	0.353733277869262	0.744402135856892	0.0712083242226077	NA_[496_170.12_1.9]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.938	0.527	0.783
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	499	PET	Untreated	18411823.7166667	18411823.7166667	18475549.4222222	7222999.25	28595556.3333333	25766775.5	16647359.3166667	9639181.25	10183732.6166667	5803419.25	0.131911811012241	0.876313946869133	0.0257776337116937	NA_[499_153.09_1.9]	NA	(3Z)-3-(hydroxymethylidene)cycloheptene-1-carbaldehyde	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.899	0.588	0.814
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	374	Untreated	PS	5360186.16666666	5360186.16666666	26372775.3333333	25124489	24891129.5	25322175	24433505.1666667	22250399	29793691.3333333	29128138	0.0384031411276064	0.914717087996739	0.0367960771811076	4E,9Z-Tetradecadienal_[374_226.22_1.5]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.988	0.983	0.828
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	253	PS	Untreated	3912538.16666667	3912538.16666667	15554736.0555556	14929408	15015263	14487954	17780741.6666667	16153144	13868203.5	14148485	0.0280314434442647	0.942748531441004	0.0217024284019348	9E,11E-Hexadecadienal_[253_254.25_1.1]	9E,11E-Hexadecadienal	hexadeca-9,11-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.971	0.705
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	450	PS	Untreated	3007287.95	3007287.95	6477642.24444444	6145062.5	6862156.58333333	6980915.25	7789029.05	6963543	4781741.1	5452504	0.0215457635172062	0.96429429495821	0.00903779829637122	NA_[450_170.12_1.7]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.983	0.681	0.865
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	353	PET	Untreated	2576439.3	2576439.3	4271034.66666667	3404571.4	5619966.71666667	5243056.15	4149609.86666667	3993624	3043527.41666667	2947730.15	0.0184589413442222	0.982753236302432	0.00595907405464518	NA_[353_170.12_1.4]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty acyls	Fatty aldehydes	0.982	0.602	0.811
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	51	PS	Untreated	1913351.45	1913351.45	3374424.18888889	2958510.65	2983076.31666667	2958510.65	4526773.85	2793811.8	2613422.4	2420892.8	0.0137082376388346	0.996461473941267	0.00470809656271616	NA_[51_153.09_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H]+	496	Fatty acids	Fatty acyls	Fatty aldehydes	0.898	0.623	0.856
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	760	PET	PS	389891.75	389891.75	6802344.41666667	7003645.75	6944624.25	7379425.5	6554732.5	6476172.25	6907676.5	7146373.5	0.00279338579560022	0.999254859736867	0.00949083238318806	4E,9Z-Tetradecadienal_[760_226.22_2.9]	4E,9Z-Tetradecadienal	(4E,9E)-tetradeca-4,9-dienal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.951	0.89	0.795
raw	class	Fatty aldehydes	NPC class: Fatty aldehydes	765	Untreated	PS	104004.266666667	104004.266666667	3375482.32777778	3445873.15	3403874.68333333	3561121.85	3309284.01666667	3331897.65	3413288.28333333	3411808.1	0.000745140263133251	1	0.00470957290943097	NA_[765_184.17_2.9]	NA	Cyclobutyl(cyclohexyl)methanone	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.841	0.772	0.729
