data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1641	PS	Untreated	7518221.75	7518221.75	23702796.75	16116528	26053438	18160726	26286587	21159219	18768365.25	12308906	0.210016675706558	0.210016675706558	0.145230267360425	HexCer(d18:1/16:0)_[1641_700.57_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2648	PET	Untreated	4478682.5	4478682.5	19668182.5555556	12380365.5	21923358	16422037.5	19636514.1666667	17436816.5	17444675.5	11920032.5	0.125109107109688	0.335125782816245	0.120509636106	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2648_812.7_8.7]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2572	PET	Untreated	3600453.33333334	3600453.33333334	23477863.6888889	19227138.8	24755830.8	19850090.8	24522382.8	20281824.8	21155377.4666667	19227138.8	0.100576341753056	0.435702124569302	0.143852071827302	beta-D-galactosyl-N-(tetracosanoyl)sphingosine_[2572_828.69_8.5]	beta-D-galactosyl-N-(tetracosanoyl)sphingosine	Beta-Galcer	[M + O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2476	PS	Untreated	3016611.21666667	3016611.21666667	9888852.10555555	5776223	9844713.53333333	7403208.5	11419227	8225750.4	8402615.78333333	4863136.5	0.0842670887731461	0.519969213342448	0.060590345110964	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2476_810.68_8.3]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1646	PS	Untreated	2942537.13333333	2942537.13333333	7449949.51111111	5795355.5	8236419.5	7051698	8527983.08333333	6793367.25	5585445.95	4995058.25	0.0821978770293348	0.602167090371783	0.0456468563913385	HexCer(d18:1/16:0)_[1646_722.55_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M + Na]+	-1	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.986	0.999	0.999
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2455	PS	Untreated	2018333.95	2018333.95	4601039.06111111	1886584.65	4293232.86666667	2983692.25	5764109.13333333	3565634.3	3745775.18333333	1712741.2	0.0563808571680778	0.65854794753986	0.0281911936396672	NA_[2455_784.67_8.2]	NA	NA	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2571	PET	Untreated	1441102.16666667	1441102.16666667	8688355.41111111	6526414.3	9241226.96666667	7745834.8	9023714.46666667	7754416.8	7800124.8	6526414.3	0.0402562595864974	0.698804207126358	0.0532347381866683	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine_[2571_810.68_8.5]	beta-D-glucosyl-N-[(15Z)-tetracosenoyl]sphingosine	Beta-D-Galactosyl-N-[(15Z)-Tetracosenoyl]Sphingosine	[M + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	1644	PET	Untreated	1413521.78333333	1413521.78333333	4061637.05	2780329.1	4542653.4	3104051.25	4513126.13333333	3566218.75	3129131.61666667	2297345.8	0.0394858193660584	0.738290026492416	0.0248862039747486	HexCer(d18:1/16:0)_[1644_682.56_6.1]	HexCer(d18:1/16:0)	Beta-D-Glucosyl-N-Hexadecanoylsphingosine	[M - H2O + H]+	56	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	1
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	2040	PS	PET	1006334.23333333	1006334.23333333	4453385.26111111	4248752.9	3831755.11666667	3831763.4	4838089.35	4712413.4	4690311.31666667	4552365.1	0.0281112977725582	0.766401324264974	0.0272864986757372	Termitomycesphin A_[2040_726.54_7.1]	Termitomycesphin A	Termitomycesphin A	[M - H2O + H]+	48	Fatty acids	Spingolipids	Neutral glycosphingolipids	0.994	0.986	0.812
raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	3356	PS	PET	924575.733333333	924575.733333333	1978195.71111111	1590773.25	1626980.03333333	1525077.6	2551555.76666667	2175776.45	1756051.33333333	1671848.5	0.0258274268052308	0.792228751070205	0.0121206748320074	N-(2-hydroxytricosanoyl)-D-galactosylsphingosine_[3356_796.67_11]	N-(2-hydroxytricosanoyl)-D-galactosylsphingosine	NA	[M - H2O + H]+	318	Fatty acids	Spingolipids	Neutral glycosphingolipids	1	1	0.986
