data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	148	PS	Untreated	21371159.8333333	21371159.8333333	35024976.9444444	31071070	33618686.6666667	33612523	46413702	37242668	25042542.1666667	27194283	0.234099123372908	0.234099123372908	0.137109893933288	NA_[148_330.26_0.7]	NA	(E)-11-nitrooctadec-11-en-5-ol	[M + O + H]+	310	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.795	0.965
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	538	PET	Untreated	19902412.3333333	19902412.3333333	24547667.0277778	11238783	35926963	32092625.5	21691487.4166667	12344823	16024550.6666667	9045095.5	0.218010501843352	0.452109625216259	0.0960950817420065	NA_[538_352.25_2]	NA	NA	[M + Na]+	211	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.855	0.993
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	185	PET	Untreated	15613580.75	15613580.75	48527756.1944444	49565167	54094171.3333333	54683741	53008506.6666667	46988044	38480590.5833333	45141522	0.17103075335135	0.623140378567609	0.18996830505255	N-[(9Z)-hexadecenoyl]glycinate_[185_328.25_0.9]	N-[(9Z)-hexadecenoyl]glycinate	Palmitoleoylglycine	[M + O + H]+	509	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.995	0.998
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	141	PS	Untreated	5742350.03333333	5742350.03333333	13482524.8777778	13262717.5	14098361.3333333	14130948.5	16045781.6666667	15196825	10303431.6333333	11200715.5	0.06290155140794	0.686041929975549	0.0527791227065531	NA_[141_326.23_0.7]	NA	2-[[(E)-2-oxohexadec-5-enylidene]amino]acetic acid	[M + O + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.99	0.674	0.825
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	172	PET	Untreated	5220682.33333333	5220682.33333333	26682792.3333333	26640425	29132636.3333333	29540889	27003786.6666667	26640425	23911954	21049268	0.0571872171268645	0.743229147102413	0.104453311488834	(9E)-10-nitrooctadecenoic acid_[172_350.23_0.9]	(9E)-10-nitrooctadecenoic acid	(Z)-10-nitrooctadec-9-enoate	[M + Na]+	659	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.98	0.224	0.882
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	576	PET	Untreated	5211010.56666667	5211010.56666667	5351721.81111111	1738714.9	8317822.83333333	7018885.25	4630530.33333333	2093552.4	3106812.26666667	1543286.1	0.0570812728488847	0.800310419951298	0.0209500212104578	Putative (3-hydroxyoctadecanoyl)glycine_[576_375.32_2.3]	Putative (3-hydroxyoctadecanoyl)glycine	PDEJWCOMIACOMR	[M + H3N + H]+	108	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.756	0.95
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	264	PS	Untreated	4606195.91666667	4606195.91666667	19275000.0277778	19325300	19749028.3333333	19325300	21341083.8333333	20443798	16734887.9166667	18012677.5	0.0504561490618615	0.850766569013159	0.0754545310212381	NA_[264_336.25_1.1]	NA	2-Tridecyl-2-oxazoline-4,4-dimethanol	[M + Na]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.997	0.674	0.925
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	187	PET	PS	3527272	3527272	25730458.5555556	27428866	27957858.3333333	29454708	24430586.3333333	25242028	24802931	27037070	0.0386376448230891	0.889404213836248	0.100725275251514	NA_[187_373.31_0.9]	NA	12-Nitroicos-11-enoic acid	[M + H3N + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.999	0.292	0.752
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	95	PS	Untreated	2283255.5	2283255.5	18401260.8888889	17538823	18997801.5	20061238	19244618.3333333	16890264.5	16961362.8333333	16731420.5	0.0250107207636283	0.914414934599877	0.0720341638687218	NA_[95_352.25_0.7]	NA	NA	[M + Na]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	0.998	0.494	0.942
raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	262	PET	Untreated	2157574.58333333	2157574.58333333	12369717.5555556	13624900	13302893.1666667	13151971	12660940.9166667	13643325.5	11145318.5833333	12327183.5	0.0236340153042232	0.9380489499041	0.048422891604386	NA_[262_359.33_1.1]	NA	O-oleoyl-N-(2-hydroxyethyl)hydroxylamine	[M + H3N + H]+	-1	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids	1	0.887	0.893
