data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2893	PET	Untreated	440491981.066667	440491981.066667	553843907.977778	344549345	769475431.666667	456192460	563072841.666667	336914435	328983450.6	303018670	0.614716129733416	0.614716129733416	0.674670731419651	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2893_506.53_9.2]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.969	0.649	0.929
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2956	PET	PS	255106774.666667	255106774.666667	187109791.755556	65429888	351112104	83033360	96005329.3333333	64804950	114211941.933333	49831150	0.356007046512236	0.970723176245652	0.22792974381613	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol_[2956_506.53_9.4]	(2-methyl-4,5-ditridecyl-1,4-cyclohexadienyl)methanol	(2-Methyl-4,5-Ditridecyl-1,4-Cyclohexadienyl)Methanol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.896	0.622	0.921
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2088	PS	Untreated	8466773.16666667	8466773.16666667	14599373.3888889	12602659.5	13735488	13132769.5	19264702.6666667	14961207	10797929.5	11483829	0.0118155659036989	0.982538742149351	0.0177843789209747	Palmityl linolenate_[2088_520.51_7.2]	Palmityl linolenate	Cetyl linolenate	[M + H3N + H]+	-1	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.818	0.442	0.881
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3212	PET	Untreated	3693523.36666667	3693523.36666667	7932547.72222222	8770412.5	9881029	10521878.5	7729108.53333333	9125365	6187505.63333333	7151751.5	0.00515439210389086	0.987693134253242	0.00966311572030091	NA_[3212_590.62_10.3]	NA	3-(3,7,12,16,20,24-Hexamethylpentacosyl)-2,4,4-trimethylcyclohex-2-en-1-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.926	0.556	0.918
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2758	PET	PS	1846376.91666667	1846376.91666667	3853630.96111111	3355539.3	4863967.21666667	3745164.25	3017590.3	3091317.25	3679335.36666667	3388654.3	0.00257665910170263	0.990269793354945	0.00469434073699077	NA_[2758_492.51_9]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Steroids	Prenyl quinone meroterpenoids	0.885	0.263	0.77
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3073	PET	Untreated	1521518.88333333	1521518.88333333	7256553.96666667	7736072	7995654.83333333	8556971.5	7299871.11666667	8202545.5	6474135.95	7040777	0.00212331265830108	0.992393106013246	0.008839646878401	NA_[3073_548.58_9.7]	NA	NA	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.927	0.384	0.849
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3134	PET	Untreated	1472528.5	1472528.5	8801673.05555556	9256783	9428611.41666667	10130555.5	9020324.83333333	9505252	7956082.91666667	7862795.25	0.00205494551399145	0.994448051527237	0.0107218498074489	NA_[3134_588.61_10]	NA	3-[(Z)-3,7,12,16,20,24-hexamethylpentacos-20-enyl]-2,4,4-trimethylcyclohex-2-en-1-one	[M + H3N + H]+	455	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.834	0.268	0.809
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3294	PET	PS	942933.4	942933.4	1362444.86666667	1013873.6	1956807	1013873.6	1013873.6	1013873.6	1116654	1013873.6	0.00131588404592692	0.995763935573164	0.00165967642050841	NA_[3294_534.56_10.7]	NA	2,6-Bis[2,4,6-tri(propan-2-yl)cyclohexyl]cyclohexan-1-ol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.842	0.219	0.721
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3362	PET	PS	757774.733333333	757774.733333333	1266465.17777778	1013873.6	1771648.33333333	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.00105749110382543	0.99682142667699	0.00154275776171061	(2E,10Z)-2-tridecylnonadeca-2,10-dienal_[3362_478.5_11]	(2E,10Z)-2-tridecylnonadeca-2,10-dienal	2-tridecylnonadeca-2,10-dienal	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.925	0.363	0.765
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2894	PET	PS	561463.816666667	561463.816666667	1201028.20555556	1013873.6	1575337.41666667	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.000783534954554485	0.997604961631544	0.00146304503168844	NA_[2894_492.52_9.3]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.954	0.295	0.7
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3183	PS	Untreated	491946.416666666	491946.416666666	10031027.75	10271939	10100623.6666667	10929035	10242203	10271939	9750256.58333333	9602949.5	0.000686521912515332	0.998291483544059	0.012219401046937	NA_[3183_576.61_10.2]	NA	15,23-Dimethyl-15,22-heptatriacontadien-19-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.918	0.479	0.895
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3329	PET	PS	347281.65	347281.65	1129634.15	1013873.6	1361155.25	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.000484639087636707	0.998776122631696	0.00137607561848942	NA_[3329_492.52_10.8]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.93	0.391	0.837
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3385	PET	Untreated	262718.5	262718.5	5802339.80555556	6306487.25	5906599	6810531.5	5856539.91666667	6036326.25	5643880.5	5609266	0.000366629374587699	0.999142752006284	0.00706818073498895	NA_[3385_660.7_11.1]	NA	7-Methylidene-4-(2-methylidenenonadecyl)tetracosan-2-one	[M + H3N + H]+	619	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.908	0.376	0.84
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3044	PET	PS	253849.233333333	253849.233333333	2794249.23333333	2905804.15	2951187.53333333	3159958.25	2697338.3	2833444.85	2734221.86666667	2895894.4	0.000354252120260152	0.999497004126544	0.00340384383915159	NA_[3044_560.58_9.6]	NA	NA	[M + H3N + H]+	-1	Terpenoids	Fatty esters	Prenyl quinone meroterpenoids	0.889	0.489	0.715
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3332	PS	Untreated	187925.5	187925.5	2166531.48333333	2267280.4	2166766.01666667	2303771.25	2260376.96666667	2403752	2072451.46666667	2089223	0.000262254118130549	0.999759258244674	0.00263918291679187	NA_[3332_658.69_10.9]	NA	11-(1,2,3,4,4a,5,6,7,8,8a-Decahydronaphthalen-2-yl)-4-(4-cyclohexylcyclohexyl)-8-heptan-3-yl-12-methylpentadecan-1-ol	[M + H3N + H]+	383	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.983	0.538	0.932
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	2916	PET	Untreated	158836	158836	9726432.75	10432531	9780978	10696743.5	9776178.25	10226890	9622142	9875616	0.000221659088880348	0.999980917333555	0.0118483554716825	NA_[2916_532.55_9.3]	NA	18-Octadeca-9,12-dienoxyoctadeca-6,9-diene	[M + H3N + H]+	33	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.871	0.226	0.748
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3253	PET	PS	13674.2166666667	13674.2166666667	1018431.67222222	1013873.6	1027547.81666667	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1.90826664451749e-05	1	0.00124061316067897	NA_[3253_492.51_10.5]	NA	tritriaconta-12,14-dien-5-one	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.955	0.337	0.703
raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	3245	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.00123506069747457	Octahydroheptaprenol_[3245_520.55_10.4]	Octahydroheptaprenol	Octahydroheptaprenol	[M + H3N + H]+	9	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	0.943	0.44	0.784
