data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2401	Untreated	PS	12024541.9166667	12024541.9166667	19456303.2222222	17311703	17807737.75	20978592	14268315	13896961.5	26292856.9166667	21181631	0.312946903657666	0.312946903657666	0.148065601213387	NA_[2401_592.58_8]	NA	1-Hydroxy-4-[1-(1-hydroxy-2,2,6-trimethyl-6-propan-2-ylpiperidin-4-yl)-3-(1,2,2,6-tetramethyl-6-propan-2-ylpiperidin-4-yl)propyl]-2,2,6-trimethyl-6-propan-2-ylpiperidine	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.942	0.965	0.976
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2462	PS	PET	7511452.33333333	7511452.33333333	39811133.5555556	34924448	36911446.3333333	34665749	44422898.6666667	34632122	38099055.6666667	36757756	0.195490669497408	0.508437573155074	0.30296913846188	NA_[2462_813.68_8.1]	NA	NA	[M + H3N + H]+	5	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.318	0.581	0.712
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2640	PET	PS	5769444.16666667	5769444.16666667	16348814.6666667	13072027	18664156.8333333	20247547	12894712.6666667	12227617	17487574.5	13072027	0.150153718977149	0.658591292132223	0.124417112803907	NA_[2640_503.5_8.7]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H3N + H]+	8	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.992	0.84	0.734
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1379	PS	PET	5065613.5	5065613.5	13864233.5444444	12453295	10958283.6	11265292	16023897.1	16760572.5	14610519.9333333	17559505.5	0.131836045891628	0.790427338023851	0.105509050289488	NA_[1379_486.48_5.1]	NA	2-Cyclooctyl-2-[(1-cyclooctylcyclooctyl)diazenyl]cyclooctan-1-amine	[M + H]+	42	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.997	0.986	0.957
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	3145	Untreated	PS	2888077.53333333	2888077.53333333	2607323.51111111	1013873.6	2906145.8	1117677	1013873.6	1013873.6	3901951.13333333	1013873.6	0.0751641873631127	0.865591525386964	0.0198421518631314	NA_[3145_505.52_10.1]	NA	4-[2,3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)cyclopentyl]-2,2,6,6-tetramethylpiperidine	[M + H3N + H]+	33	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.873	0.645	0.71
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2981	PET	PS	1529634.03333333	1529634.03333333	3408590.28333333	3344004.35	4419931.03333333	3823058.1	2890297	3406550.9	2915542.81666667	3131084.85	0.0398097688692454	0.90540129425621	0.025939921054243	NA_[2981_556.54_9.5]	NA	(2S)-1-[4-[2-[[(2S)-2-hydroxydodecyl]-[(2S)-2-hydroxypropyl]amino]ethyl]piperazin-1-yl]dodecan-2-ol	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.906	0.794	0.769
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2643	PET	PS	1160512.2	1160512.2	7224931.21111111	6714675	7740674.83333333	7719309	6580162.63333333	6696492.25	7353956.16666667	6393293.75	0.0302031214298119	0.935604415686021	0.0549828901862862	NA_[2643_549.57_8.7]	NA	4-Methyl-1-(4-methyl-2,2,6,6-tetrapropylpiperidin-1-yl)oxy-2,2,6,6-tetrapropylpiperidine	[M + H]+	57	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.917	0.975	0.875
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	2466	PET	PS	651208.75	651208.75	3006250.38333333	3184157.5	3318670.36666667	3230126.6	2667461.61666667	2788857.75	3032619.16666667	3124835.65	0.016948151818142	0.952552567504163	0.0228780496131364	NA_[2466_522.54_8.2]	NA	(E)-1-N-[(1E,7Z)-1-methoxy-2,3,3,6,6,7,8,9,9-nonamethyldeca-1,7-dienyl]-1-N,5-N,5-N,3,3,6-hexamethylhept-4-ene-1,5-diamine	[M + H3N + H]+	158	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.592	0.878	0.848
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1255	Untreated	PET	623764	623764	11216535.9444444	11105468	10941870.5	11105468	11142102.8333333	10142025	11565634.5	11768840	0.0162338834831251	0.968786450987289	0.0853596451071368	NA_[1255_468.45_4.6]	NA	N,N'-(Iminodiethylene)bis(dodecanamide)	[M + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.884	0.953	0.813
raw	class	Steroidal alkaloids	NPC class: Steroidal alkaloids	1998	Untreated	PS	547627.283333333	547627.283333333	3084568.77222222	2485939.6	3059406.03333333	2517778.1	2823336.5	2611070	3370963.78333333	2334054	0.0142523735095544	0.983038824496843	0.0234740651667824	NA_[1998_516.49_6.9]	NA	2-[[(3S,10R,13R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3-carbonyl]amino]ethyl-trimethylazanium	[M + H3N + H]+	-1	Alkaloids	Pseudoalkaloids (transamidation)	Steroidal alkaloids	0.533	0.702	0.829
