data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3034	PET	PS	28948683.4666667	28948683.4666667	10663434.7555556	1013873.6	29962557.0666667	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0.274190716428384	0.274190716428384	0.0326737840460476	NA_[3034_1014.06_9.6]	NA	18-Oxononahexacontanoic acid	[M + H]+	6	Fatty acids	Glycerolipids	Triacylglycerols	1	1	0.991
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3462	PET	Untreated	7526972.83333334	7526972.83333334	37036952.6666667	38480198	40906732.3333333	43297437	36824366.1666667	42122164	33379759.5	35188450	0.0712925710796165	0.345483287508001	0.113484765546475	triolein_[3462_902.82_11.6]	triolein	Olein	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3430	PET	Untreated	7120244.33333334	7120244.33333334	32875681.0555556	35482823	36546529.3333333	39281274	32654228.8333333	35720165	29426285	30751341	0.0674401962752405	0.412923483783241	0.10073423130538	1,2-dioleoyl-3-linoleoyl-sn-glycerol_[3430_900.8_11.4]	1,2-dioleoyl-3-linoleoyl-sn-glycerol	1,2-Dioleoyl-3-Linoleoyl-Sn-Glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.995	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3376	PS	PET	5325519.45	5325519.45	10615694.0222222	7945433.25	8261910.25	7945433.25	13587429.7	12622270.5	9997742.11666667	9250229.75	0.0504412573729016	0.463364741156143	0.0325275018727244	NA_[3376_922.79_11.1]	NA	1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3452	PS	Untreated	4068768.11666667	4068768.11666667	18186297.1	16047562	17598201.25	17191701	20514729.0833333	18963325.5	16445960.9666667	14986482.5	0.0385377955503363	0.501902536706479	0.0557245538294386	NA_[3452_876.8_11.6]	NA	1-Myristoyl-2-eicosenoyl-3-oleoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.996	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3447	PS	PET	4058036.98333333	4058036.98333333	8007948.62777778	5689827.5	6355217.55	5957845.05	10413254.5333333	8703748	7255373.8	4957503.3	0.0384361544121428	0.540338691118622	0.0245371205539132	NA_[3447_850.79_11.6]	NA	2,3-di(tetradecanoyloxy)propyl (Z)-docos-11-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3382	PET	Untreated	3960673.66666666	3960673.66666666	30531914.2222222	32053043	32802009.3333333	35651102	29952397.6666667	32110002	28841335.6666667	30917135	0.0375139667906775	0.577852657909299	0.0935527055473004	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))_[3382_898.79_11.1]	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))	NA	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.987	0.999	0.999
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3348	PET	Untreated	2753631.33333333	2753631.33333333	21056371.4444444	22417962	22515578.5	24536453	20891588.6666667	22415655	19761947.1666667	19916931	0.0260813293611673	0.603933987270467	0.0645187361427521	1,2,3-trilinoleoylglycerol_[3348_896.77_10.9]	1,2,3-trilinoleoylglycerol	Trilinolein	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.992	0.999	0.999
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3371	PS	PET	2622931.26666667	2622931.26666667	5056767.37777778	3670815.25	3966355.53333333	3670815.25	6589286.8	5462886.8	4614659.8	3723581.05	0.024843388956802	0.628777376227269	0.015494418924121	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]_[3371_896.77_11.1]	TG(16:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso3]	Triglyceride	[M + H3N + H]+	483	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3482	PS	Untreated	2120209.38333333	2120209.38333333	3912083.67222222	2152143.9	3246965.13333333	2891905.55	5304747.63333333	4499061.8	3184538.25	2152143.9	0.0200818020088459	0.648859178236115	0.0119869985615717	NA_[3482_878.82_11.8]	NA	[2-[(Z)-heptadec-9-enoyl]oxy-3-pentadecanoyloxypropyl] icosanoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3418	PET	Untreated	1974782.75	1974782.75	9995918.70555556	10459182	10908937.6666667	11386621	10144663.5333333	10628818.25	8934154.91666667	8829112.75	0.0187043772693979	0.667563555505512	0.0306284510210945	NA_[3418_874.79_11.3]	NA	2,3-bis[[(Z)-heptadec-9-enoyl]oxy]propyl (Z)-octadec-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.994	0.999	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3483	PS	Untreated	1966098.98333333	1966098.98333333	5236251.82777778	4092296.75	5081207.93333333	5048043	6296823.26666667	5883651.75	4330724.28333333	3884870.75	0.0186221279952169	0.686185683500729	0.0160443764465664	NA_[3483_904.83_11.9]	NA	[2-[(Z)-icos-11-enoyl]oxy-3-tridecanoyloxypropyl] (Z)-henicos-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3381	PS	PET	1874697	1874697	5387997.55	4524532.35	4656709.05	4524532.35	6531406.05	5919096.05	4975877.55	4472724.3	0.0177564038139428	0.703942087314672	0.0165093398538979	NA_[3381_948.8_11.1]	NA	1-Vaccenoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.997	1	0.999
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3437	PS	PET	1804976.58333333	1804976.58333333	4283306.24444444	3093091.3	3574428.63333333	3093091.3	5379405.21666667	4695477.05	3896084.88333333	3283103.55	0.0170960390337091	0.721038126348381	0.0131244600302122	NA_[3437_908.81_11.4]	NA	[2-[(Z)-hexadec-9-enoyl]oxy-3-octadecoxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	[M + H3N + H]+	198	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	class	Triacylglycerols	NPC class: Triacylglycerols	3302	PET	Untreated	1802438.75	1802438.75	14805476.9166667	16057586.5	15808658.75	17177436	14601552	15413740	14006220	13726874	0.0170720016594139	0.738110128007795	0.0453653974130502	NA_[3302_894.76_10.7]	NA	2,3-bis(octadeca-9,12-dienoyloxy)propyl octadeca-9,11,13-trienoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
