data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	354	PS	Untreated	489383901.666667	489383901.666667	1500877959.44444	1552056300	1542999966.66667	1566023700	1724508906.66667	1671957300	1235125005	1387260350	0.441468386307919	0.441468386307919	0.483497270887203	Ximenynic acid_[354_296.26_1.4]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.973	0.977
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	427	PS	Untreated	159727050	159727050	559368804.444444	565516350	604782736.666667	620846930	616525363.333333	619196900	456798313.333333	391852740	0.144088194918299	0.585556581226217	0.180196723302164	stearolic acid_[427_298.27_1.7]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.888	0.941
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	358	PS	Untreated	53535408.3333333	53535408.3333333	149000245.555556	153108520	153276765	157882960	173629690	167362640	120094281.666667	136858475	0.0482937633354153	0.633850344561633	0.0479993803855315	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[358_279.23_1.4]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.934	0.961
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	500	PET	Untreated	46458327.9166667	46458327.9166667	49319587.3055556	22020607	74661306	67372725	45094477.8333333	27890862	28202978.0833333	16444865	0.0419095989591926	0.675759943520825	0.01588795792054	2,6-Nonadienoic acid_[500_172.13_1.9]	2,6-Nonadienoic acid	nona-2,6-dienoic acid	[M + H3N + H]+	293	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.926	0.592	0.716
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	221	PS	Untreated	39878055	39878055	78676744.1111111	76402715	78003280.6666667	79459100	98952503.3333333	87659277	59074448.3333333	66196260	0.0359735997240457	0.711733543244871	0.0253451593586554	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid_[221_296.26_1]	(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	Alpha-Esa	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.957	0.972
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	147	PS	Untreated	35962593.3333333	35962593.3333333	77659419	72521615	75195715	71160980	96872567.6666667	82157905	60909974.3333333	63527403	0.0324415004094851	0.744175043654356	0.0250174352344306	Ximenynic acid_[147_296.26_0.7]	Ximenynic acid	octadec-11-en-9-ynoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.961	0.976
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	50	PS	Untreated	28567827.6666667	28567827.6666667	49752726.3333333	41478764	42408659	41478764	67708673.8333333	39517984	39140846.1666667	35398467	0.025770755305548	0.769945798959904	0.016027490609742	NA_[50_170.12_0.6]	NA	(2E)-7-Methylene-2-octene-1,8-dial	[M + H3N + H]+	16	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.976	0.493	0.739
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	198	PS	Untreated	27375912.1666667	27375912.1666667	48475716.7222222	43752272	45976758.3333333	43795604	63413152	51598055	36037239.8333333	38164172	0.024695540100045	0.794641339059949	0.0156161109516001	stearolic acid_[198_298.27_0.9]	stearolic acid	Stearolsaeure	[M + H3N + H]+	304	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.945	0.958
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	482	PS	Untreated	18345808.1666667	18345808.1666667	39847991.5	40151548	39547453.3333333	40726603	49171164.6666667	45764198	30825356.5	34920182	0.0165495724302952	0.811190911490244	0.0128367499964607	NA_[482_324.29_1.9]	NA	icosa-7,10,13-trienoic acid	[M + H3N + H]+	3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	1	0.979	0.987
raw	class	Unsaturated fatty acids	NPC class: Unsaturated fatty acids	533	PET	Untreated	17814858.4333333	17814858.4333333	17021167.6333333	6271937.25	27050616.4666667	22838978.25	14777128.4	8547865	9235758.03333333	5079504	0.0160706079175946	0.827261519407839	0.00548324935165049	NA_[533_155.11_2]	NA	1,2,3,3a,4,5,6,6a-Octahydropentalene-2-carboxylate	[M + H]+	266	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	0.995	0.743	0.846
