data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	444	PS	Untreated	165904203.333333	165904203.333333	515200523.888889	513452250	549054198.333333	568218120	581225788.333333	575094020	415321585	386311025	0.199677372673064	0.199677372673064	0.0955974875240247	farnesyl acetone_[444_280.26_1.7]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.897	0.865	0.291
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	605	Untreated	PS	132462910	132462910	952774432.222222	967598450	926090643.333333	967598450	899884871.666667	829585200	1032347781.66667	1056470400	0.159428425042889	0.359105797715953	0.176791050618607	farnesyl acetone_[605_280.26_2.4]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.937	0.911	0.319
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	3422	PET	PS	75190486.7666667	75190486.7666667	29691444.05	1747416.95	77787828.95	5073666	2597342.18333333	1721377.7	8689161.01666667	1758356.15	0.0904970371209408	0.449602834836893	0.00550936445233954	NA_[3422_507.53_11.3]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.935	0.874	0.953
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	551	Untreated	PET	54528295	54528295	580986923.888889	564431150	562288838.333333	591560030	563854800	551520880	616817133.333333	600685950	0.0656286366660979	0.515231471502991	0.107804413296885	11-Hexadecynal_[551_254.25_2.1]	11-Hexadecynal	11-Hexadecynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty aldehydes	0.987	0.977	0.717
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	3461	PET	PS	52152775.0833333	52152775.0833333	21165431.2277778	1331956.15	54163006.1	3833863.95	2010231.01666667	1171154.85	7323056.56666667	1234634.65	0.0627695314345113	0.578001002937503	0.0039273291736296	NA_[3461_507.53_11.6]	NA	Methoxy-tri(undecyl)silane	[M - H2O + H]+	9	Fatty acids	Fatty acyls	Fatty alcohols	0.866	0.73	0.905
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	315	PS	Untreated	42136251.6666666	42136251.6666666	792049307.222222	803902630	789584883.333333	808147680	814349645	833147260	772213393.333333	797487080	0.0507139412868663	0.628714944224369	0.14696787028485	farnesyl acetone_[315_280.26_1.3]	farnesyl acetone	Farnesylacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.787	0.728	0.209
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	268	Untreated	PS	32893558.3333333	32893558.3333333	204309968.888889	198958210	195452211.666667	208669440	192292068.333333	183145035	225185626.666667	227103190	0.0395897100489467	0.668304654273316	0.0379105198776966	NA_[268_278.25_1.1]	NA	Farnesylideneacetone	[M + H3N + H]+	3	Fatty acids	Fatty acyls	Fatty aldehydes	0.939	0.869	0.468
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	438	PS	Untreated	24445517.1666667	24445517.1666667	75328053.7222222	74552725	80962571.6666667	83051220	84733553.3333333	84572120	60288036.1666667	56268727	0.0294218985619489	0.697726552835264	0.0139774172230311	farnesyl acetone_[438_263.24_1.7]	farnesyl acetone	Farnesylacetone	[M + H]+	3	Fatty acids	Fatty acyls	Fatty alcohols	0.989	0.98	0.538
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	639	Untreated	PS	22822895	22822895	166235527.222222	166565055	166504893.333333	172807155	154689396.666667	152142060	177512291.666667	174455510	0.0274689587052649	0.725195511540529	0.0308456571816362	civetone_[639_268.26_2.5]	civetone	cycloheptadec-9-en-1-one	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Fatty alcohols	0.988	0.985	0.685
raw	superclass	Fatty acyls	NPC superclass: Fatty acyls	1044	Untreated	PS	22297385	22297385	232962212.222222	243713920	227919395	245634250	224334928.333333	213047415	246632313.333333	256007665	0.0268364704740741	0.752031982014603	0.0432270565417478	NA_[1044_310.31_3.8]	NA	11-Icosynal	[M + H3N + H]+	58	Fatty acids	Fatty acyls	Unsaturated fatty acids	0.998	0.854	0.466
