data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2366	PS	PET	167309477.133333	167309477.133333	361460844.644444	344887830	285547382.266667	313588230	452856859.4	454259855	345978292.266667	426166430	0.29544498713871	0.29544498713871	0.2829124192147	NA_[2366_568.57_7.9]	NA	Stearic anhydride	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.997	0.962	0.842
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1382	PS	PET	83942960	83942960	237473800.6	214060785	187594062.266667	198636550	271537022.266667	288254545	253290317.266667	308214160	0.148231452052301	0.443676439191011	0.18586878336419	NA_[1382_484.47_5.1]	NA	14-oxotriacontanoic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.995	0.95	0.67
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1147	PS	PET	65717841.6666667	65717841.6666667	200727825.6	178202320	158774862.266667	165053160	224492703.933333	244990220	218915910.6	262859280	0.116048458334007	0.559724897525018	0.157108012072685	NA_[1147_456.44_4.2]	NA	tetradecanoyl tetradecanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.985	0.949	0.781
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1844	PS	PET	53217434	53217434	122480974.711111	103772870	95160797.2666667	98636220	148378231.266667	151062630	123903895.6	140872095	0.0939744978771001	0.653699395402118	0.0958648478160346	NA_[1844_526.52_6.6]	NA	Oxoceromelissic acid	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.99	0.928	0.676
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2087	PS	Untreated	15233565.4166667	15233565.4166667	18343131.0277778	15024574.5	17015679.1666667	16273359.5	26623639.6666667	17107671	11390074.25	12721153.5	0.0269003323405109	0.680599727742629	0.0143570172314115	(2E)-geranyl hexadecanoate_[2087_410.4_7.2]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.944	0.957	0.863
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2177	PS	Untreated	14019653.5	14019653.5	19833169.2777778	17079531	17389556.6666667	16120542.5	28064802.3333333	19650073	14045148.8333333	13496232	0.02475673475864	0.705356462501269	0.0155232578693002	NA_[2177_520.51_7.4]	NA	Geranylcitronellol tetradecanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.984	0.808	0.598
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2962	PS	PET	13781622.1666667	13781622.1666667	25441727.1555556	24564819	20687162.6	23668389	34468784.7666667	35105698	21169234.1	26264721	0.0243364049278365	0.729692867429106	0.019913029821138	NA_[2962_624.63_9.5]	NA	icosanoyl icosanoate	[M + H3N + H]+	21	Fatty acids	Fatty esters	Wax monoesters	0.998	0.942	0.81
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2422	PET	Untreated	11578987.4666667	11578987.4666667	12328677.2333333	9409232	18714280.4166667	16212117.5	11136458.3333333	9711599.5	7135292.95	6260687.1	0.0204468620772891	0.750139729506395	0.00964955389630234	NA_[2422_396.38_8]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.86	0.908	0.809
raw	superclass	Fatty esters	NPC superclass: Fatty esters	924	PS	Untreated	10973315.4166667	10973315.4166667	10514440.5	7394487.25	10285666.4166667	10313667	16115485.25	10055653	5142169.83333333	5759161	0.019377330487755	0.76951705999415	0.0082295657817933	NA_[924_412.38_3.5]	NA	(3S,4R,5R)-4-hydroxy-3-icos-1-en-9-yl-5-methyloxolan-2-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.884	0.773	0.532
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2077	PS	Untreated	9188909.25	9188909.25	13381658.9722222	11203069	12790843.8333333	11739400.5	18271521.1666667	13190563.5	9082611.91666667	9990566	0.0162263203597338	0.785743380353884	0.0104737140108813	NA_[2077_396.38_7.2]	NA	5-Pentacosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.942	0.969	0.871
