data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_ps	median_ps	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1553	Untreated	PS	84434026.2833333	84434026.2833333	41801556.2388889	17268669	28106364.9666667	29170689	6432138.73333333	1013873.6	90866165.0166667	103980150	0.187219286723689	0.187219286723689	0.10144028684662	NA_[1553_543.34_5.8]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.816	0.784	0.662
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1606	Untreated	PS	84304195.3666667	84304195.3666667	39184920.5222222	13506275.5	22187999.4	18302248.5	5531283.4	1013873.6	89835478.7666667	56429514	0.186931406911687	0.374150693635376	0.0950904687643729	NA_[1606_543.34_6]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.95	0.907	0.767
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1180	PET	PS	63220291.2333333	63220291.2333333	82474510.8555555	71982365	106558340.766667	104079695	43338049.5333333	37278950	97527142.2666667	101857460	0.140181137299441	0.514331830934817	0.200141783978343	NA_[1180_543.34_4.4]	NA	NA	[M + H]+	579	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.938	0.915	0.758
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1091	PET	PS	61909672.3166667	61909672.3166667	72451725.1611111	70512220	97300346.9333333	105732500	35390674.6166667	31303184	84664153.9333333	97213160	0.137275044228367	0.651606875163183	0.175819381959713	NA_[1091_543.34_4]	NA	NA	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.975	0.933	0.812
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1296	Untreated	PS	43790180.9833333	43790180.9833333	58445376.6611111	49737132	64051740.4333333	64940450	33747104.2833333	6227961.25	77537285.2666667	78054649	0.0970978977324834	0.748704772895667	0.141830025166534	NA_[1296_543.34_4.7]	NA	NA	[M + H]+	14	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.986	0.953	0.868
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	847	PET	PS	38325568.6666667	38325568.6666667	63861824.9333333	59184557	78916750.2666667	60878037	40591181.6	27273919	72077542.9333333	85714245	0.0849809720665831	0.83368574496225	0.154974178539296	NA_[847_543.34_3.2]	NA	NA	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.929	0.862	0.555
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	1788	Untreated	PET	12945486.4833333	12945486.4833333	12088999.7833333	2863193.1	4673723.73333333	3093415.6	13974065.4	1013873.6	17619210.2166667	11150623.75	0.0287045975702716	0.862390342532521	0.0293365060071424	NA_[1788_543.34_6.4]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.803	0.792	0.466
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2314	Untreated	PS	11469849.0083333	11469849.0083333	5931756.675	1799163.7	3664207.46666667	2321552.15	1330606.775	1013873.6	12800455.7833333	8533973.75	0.0254326015789259	0.887822944111447	0.0143946578251209	NA_[2314_543.34_7.8]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.789	0.886	0.561
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2930	Untreated	PS	8396425.05	8396425.05	7221336.56111111	1519109.9	7334841.96666667	2298239.3	2966371.33333333	1013873.6	11362796.3833333	4753683.85	0.0186177632180524	0.9064407073295	0.0175240952271917	NA_[2930_543.34_9.4]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	-1	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.762	0.848	0.631
raw	superclass	Tyrosine alkaloids	NPC superclass: Tyrosine alkaloids	2451	Untreated	PS	7716092.48333333	7716092.48333333	4943570.94444444	1861119.45	4213541.41666667	2260335.15	1450539.46666667	1013873.6	9166631.95	8064432.25	0.0171092318418651	0.923549939171365	0.0119966168672095	NA_[2451_543.34_8.1]	NA	3-({[(3,4-dimethoxyphenyl)methyl][3-(morpholin-4-yl)propyl]amino}methyl)-8a-methyl-decahydro-2H-spiro[naphtho[2,3-b]furan-5,2'-oxiran]-2-one	[M + H]+	14	Alkaloids	Tyrosine alkaloids	Isoquinoline alkaloids	0.898	0.972	0.859
