sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	761639410	8.88174940850796	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_110626_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	759019774	8.88025309086452	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_110626_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	864255247.4	8.93664202558122	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_180626_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	773723434	8.88858575122886	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_180626_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	759879971.9	8.88074499856517	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_180626_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	816363056.8	8.91188334372089	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_210626_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	845991748.7	8.92736612772314	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_210626_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	713011045.6	8.85309625837958	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
A549_210626_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	669800678.2	8.82594558359301	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_160526_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	788484132.3	8.89679295842638	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_160526_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	632753972.6	8.80123488114303	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_160526_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	769995957.5	8.88648844568449	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_A_190626_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	1219231658.6	9.08608623139961	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_A_190626_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	593044440.6	8.77308723976974	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_A_190626_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	631417223.4	8.80031642481601	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_B_190626_PET100	PET	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	782045842.1	8.89323221191127	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_B_190626_PS100	PS	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	1005642837.4	9.00244376515967	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
MDM_B_190626_untreated	Untreated	raw	class	Fatty alcohols	NPC class: Fatty alcohols	Fatty alcohols	Fatty acids	Fatty Acids and Conjugates | Fatty acyls	Fatty alcohols	39	700885359.1	8.84564698865498	kruskal_wallis	0.128396572892949	0.971836292859759	ns	0.0638254092192536	0.0289448679990905
