sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	154230590.4	8.18817052389996	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_110626_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	150132373.9	8.17647435463049	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_110626_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	148109887.4	8.17058405470077	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_180626_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	171355762	8.23389871510969	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_180626_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	167998887.6	8.22530640865156	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_180626_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	165198699.1	8.21800662566222	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_210626_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	199012859.3	8.29888114162008	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_210626_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	175387433.7	8.24399847594035	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
A549_210626_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	141395760.8	8.15043639210262	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_160526_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	232485451.7	8.36639578299038	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_160526_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	148477104.4	8.17165949227281	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_160526_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	125919951	8.10009454946433	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_A_190626_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	160473657.2	8.20540375301952	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_A_190626_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	242305971.4	8.3843641188358	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_A_190626_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	216287056.8	8.33503053287318	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_B_190626_PET100	PET	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	110181179.7	8.04210742195587	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_B_190626_PS100	PS	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	157957200.1	8.19853942971382	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
MDM_B_190626_untreated	Untreated	raw	class	Neutral glycosphingolipids	NPC class: Neutral glycosphingolipids	Neutral glycosphingolipids	Fatty acids	Spingolipids	Neutral glycosphingolipids	27	70841024.3	7.85028483821694	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.0959842145041279	0.0591410106629109
