sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	299476565	8.47636284457153	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_110626_PS100	PS	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	351058362.4	8.54537932386038	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_110626_untreated	Untreated	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	276278979.3	8.441347844428	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_180626_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	235569256	8.37211861214885	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_180626_PS100	PS	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	217533615.5	8.33752638005999	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_180626_untreated	Untreated	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	136965520.9	8.13661125669609	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_210626_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	358660097	8.55468306281384	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_210626_PS100	PS	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	264357643.2	8.42219187303839	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
A549_210626_untreated	Untreated	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	264706970.7	8.4227653796503	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_160526_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	280567571.1	8.44803747399146	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_160526_PS100	PS	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	413689055.8	8.61667403277796	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_160526_untreated	Untreated	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	248930859.3	8.39607874002846	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_A_190626_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	344996552	8.53781475588325	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_A_190626_PS100	PS	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	222544164.7	8.34741621314333	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_A_190626_untreated	Untreated	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	257853333.7	8.41137275231223	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
MDM_B_190626_PET100	PET	raw	class	Nitro fatty acids	NPC class: Nitro fatty acids	Nitro fatty acids	Fatty acids	Fatty Acids and Conjugates | Fatty amides	Nitro fatty acids	15	189660540.3	8.27797698572163	kruskal_wallis	0.342948345764196	0.971836292859759	ns	0.160630821712525	0.0773961161906396
