sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	107888214	8.03297400779694	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_110626_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	113403431.2	8.0546261988511	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_110626_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	113523613.9	8.05508621178457	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_180626_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	112680732.5	8.05184966538123	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_180626_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	133373867.7	8.12507074868796	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_180626_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	131599287	8.11925353959323	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_210626_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	140508769.1	8.14770343233481	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_210626_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	195305705.8	8.29071493348519	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
A549_210626_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	102705495	8.01159368428479	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_160526_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	68784482.7	7.83749048178989	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_160526_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	81052994	7.9087690671542	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_160526_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	44146936.6	7.64490058266897	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_A_190626_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	69524703.4	7.84213915103894	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_A_190626_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	78378860.4	7.89419895024583	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_A_190626_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	76855888.3	7.8856771521545	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_B_190626_PET100	PET	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	82991845.9	7.91903542948137	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_B_190626_PS100	PS	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	125086376.2	8.09721001449741	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
MDM_B_190626_untreated	Untreated	raw	class	Open-chain polyketides	NPC class: Open-chain polyketides	Open-chain polyketides	Polyketides	Linear polyketides | Macrolides	Open-chain polyketides	7	68996061.2	7.83882430503274	kruskal_wallis	0.308683562466034	0.971836292859759	ns	0.135875739567149	0.127282688454613
