sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	13849111.5	7.14142194316924	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_110626_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	16928770	7.22862543021216	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_110626_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	6129547.1	6.7874284574041	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_180626_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	5658041.6	6.75266621298228	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_180626_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	5808364.6	6.76405394465234	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_180626_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	3211658.1	6.50672944107551	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_210626_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	19638350	7.29310501798928	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_210626_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	9544567.6	6.97975630372251	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
A549_210626_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	7113951.1	6.85211093664738	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_160526_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	7940460	6.89984571702965	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_160526_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	17381153.2	7.24007861250663	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_160526_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	12990533.5	7.11362702063615	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_A_190626_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	17608133	7.24571333459068	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_A_190626_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	9649947.5	6.98452499560022	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_A_190626_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	6540446.6	6.81560747058089	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_B_190626_PET100	PET	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	4785502.8	6.67992766542373	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_B_190626_PS100	PS	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	3844632.4	6.5848549345282	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
MDM_B_190626_untreated	Untreated	raw	class	Oxo fatty acids	NPC class: Oxo fatty acids	Oxo fatty acids	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	2	2027747.2	6.30701402455677	kruskal_wallis	0.271418446145969	0.971836292859759	ns	0.271693756714006	0.219115866106945
