sample_id	group	data_source	npc_level	npc_term	npc_label	npc_plot_label	npc_pathway	npc_superclass	npc_class	n_features	summed_intensity	plot_intensity	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	831761644.4	8.91999889009097	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_110626_PS100	PS	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	497592119.3	8.69687349439714	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_110626_untreated	Untreated	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	429531827.1	8.63299535036995	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_180626_PET100	PET	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	784943830.3	8.89483858078446	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_180626_PS100	PS	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	490637318.3	8.69076057882684	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_180626_untreated	Untreated	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	148215485.6	8.17089358416649	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_210626_PET100	PET	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	593855106.8	8.77368049622898	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_210626_PS100	PS	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	2238912354.7	9.35003709305162	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
A549_210626_untreated	Untreated	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	796133922.1	8.90098612951045	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
MDM_160526_PET100	PET	raw	class	Prenyl quinone meroterpenoids	NPC class: Prenyl quinone meroterpenoids	Prenyl quinone meroterpenoids	Terpenoids	Fatty esters | Meroterpenoids | Steroids	Prenyl quinone meroterpenoids	18	508931222.9	8.70665909648439	kruskal_wallis	0.281110949934295	0.971836292859759	ns	0.295000041513214	0.241663874044324
