sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	58897573.7	1576419087.3	0.0373616217758923	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_110626_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	84760059	1438361364.9	0.0589282089107648	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_110626_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	40655275.4	1785861188.6	0.022765081440552	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_180626_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	49264272.4	1474863097.7	0.0334026069787942	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_180626_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	42343161	1606086500.9	0.0263641846041743	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_180626_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	31980318.5	2104203255.8	0.0151983029262263	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_210626_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	87896061.4	1569136596.1	0.0560155576120401	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_210626_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	67236601.9	1542202367.4	0.0435977815371625	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
A549_210626_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	55411793.5	1631201150.5	0.033969932820986	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_160526_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	53864651.5	990293412.4	0.0543926182134825	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_160526_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	86930170.7	869130201.8	0.100019732969772	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_160526_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	65049475.3	829205201.5	0.0784479826975615	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_A_190626_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	64349020.4	1555297808	0.041374082872751	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_A_190626_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	43822123.3	1003167079.2	0.0436837733301087	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_A_190626_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	36715210	1301885211.6	0.0282015723604983	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_B_190626_PET100	PET	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	40152722.5	1057910792.8	0.0379547337764905	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_B_190626_PS100	PS	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	34645915.4	1113146363.3	0.0311243126171564	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
MDM_B_190626_untreated	Untreated	raw	class	Aminoacids	Aminoacids	pathway	Amino acids and Peptides	Amino acids and Peptides	Nicotinic acid alkaloids | Small peptides	Aminoacids	NPC class: Aminoacids / NPC pathway: Amino acids and Peptides	Aminoacids	11	141	21691761.2	848104959.2	0.0255767413746306	kruskal_wallis	0.142648970109233	0.817854095292936	ns	0.0165930633914474	0.0167516205660712
