sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	30744536	1576419087.3	0.0195027681710309	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_110626_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	33106798	1438361364.9	0.0230170239606663	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_110626_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	34112268	1785861188.6	0.0191012986998961	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_180626_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	21662224	1474863097.7	0.0146876167922172	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_180626_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	22907622	1606086500.9	0.0142630063742914	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_180626_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	17785592	2104203255.8	0.00845241159615926	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_210626_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	28891566	1569136596.1	0.0184123970289192	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_210626_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	31411226	1542202367.4	0.0203677718722195	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
A549_210626_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	20190874	1631201150.5	0.0123779179494884	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_160526_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	25054738	990293412.4	0.0253003177505536	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_160526_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	22119740	869130201.8	0.0254504330354523	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_160526_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	14196681	829205201.5	0.0171208296502708	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_A_190626_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	36222324	1555297808	0.023289638687641	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_A_190626_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	27083248	1003167079.2	0.0269977440065101	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_A_190626_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	34121164	1301885211.6	0.0262090418540553	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_B_190626_PET100	PET	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	20032432	1057910792.8	0.0189358423567829	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_B_190626_PS100	PS	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	20848138	1113146363.3	0.0187290177530601	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
MDM_B_190626_untreated	Untreated	raw	class	Dipeptides	Dipeptides	pathway	Amino acids and Peptides	Amino acids and Peptides	Small peptides	Dipeptides	NPC class: Dipeptides / NPC pathway: Amino acids and Peptides	Dipeptides	1	141	8251894	848104959.2	0.00972980279207876	kruskal_wallis	0.208617789003969	0.943887976647683	ns	0.00597228241004184	0.0069430241165633
