sample_id	group	data_source	numerator_level	numerator_term	numerator_class	denominator_level	denominator_term	npc_pathway	npc_superclass	npc_class	ratio_label	ratio_plot_label	numerator_n_features	denominator_n_features	numerator_summed_intensity	denominator_summed_intensity	ratio	npc_overall_test	npc_overall_p_value	npc_overall_q_value	npc_overall_significance	npc_max_mean_difference	npc_max_median_difference
A549_110626_PET100	PET	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	12116666.5	35458165160.66	0.000341717244676923	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_110626_PS100	PS	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	12231732	39295522102.6	0.000311275467165524	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_110626_untreated	Untreated	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	15237357.5	40726922534.5	0.000374134762750423	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_180626_PET100	PET	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	12909401.3	36474343757.1	0.000353931009313556	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_180626_PS100	PS	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	12830474.5	38000221483.6	0.000337642097837175	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_180626_untreated	Untreated	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	14493176.8	38180285352.2	0.000379598441088259	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_210626_PET100	PET	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	13909338.5	40523921542.8	0.000343237721584014	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_210626_PS100	PS	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	14657704.4	42962798740.1	0.000341172009967754	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
A549_210626_untreated	Untreated	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	11296076.1	37950422097.55	0.000297653503588548	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
MDM_160526_PET100	PET	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	11006498.1	28244838693.3	0.00038968174750493	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
MDM_160526_PS100	PS	raw	class	Glycerophosphoinositols	Glycerophosphoinositols	pathway	Fatty acids	Fatty acids	Glycerophospholipids	Glycerophosphoinositols	NPC class: Glycerophosphoinositols / NPC pathway: Fatty acids	Glycerophosphoinositols	3	1440	8953820.9	30211472297.4	0.000296371550908182	kruskal_wallis	0.139350876672566	0.817854095292936	ns	4.87270955960421e-05	3.74595480168762e-05
